domain	utterance	intents
reminder	remind me to write thank you letters to invited	[IN:CREATE_REMINDER]
reminder	Remind me of the information in the note section of my  doctor's appointment	[IN:CREATE_REMINDER]
reminder	remind me to take my meds at 8am and 6pm daily	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	I need to text Nicquana tonight at 7pm. Can you remind me?	[IN:CREATE_REMINDER, IN:SEND_MESSAGE]
reminder	Remind me to change my flight to New York.	[IN:CREATE_REMINDER]
reminder	delete my reminder to do my homework tonight	[IN:DELETE_REMINDER]
reminder	please remind me on Saturday at 9 am to leave Justin a message about the upcoming meeting on Monday	[IN:CREATE_REMINDER, IN:SEND_MESSAGE, IN:GET_EVENT]
reminder	Remind me 30 min before the Fluid dynamics exam starts	[IN:CREATE_REMINDER]
reminder	Remind me at 5PM to schedule my hair appointment for next month	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	REMIND MY BAND TO BRING THEIR GEAR FOR TOMORROW NIGHT'S PERFORMANCE.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Remind me to buy movie tickets for Avengers: Infinity War for Saturday movie showings.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Remind me to pack my lunch for tomorrow.	[IN:CREATE_REMINDER]
reminder	erase reminder to attend conference this monday	[IN:DELETE_REMINDER]
reminder	Set up a weekly reminder to do grocery shopping on Saturdays by 12:00 pm.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME, IN:GET_TODO]
reminder	Remind me to play the baby's lullaby's for her at nap time	[IN:CREATE_REMINDER]
reminder	Set up a biweekly reminder to notify the team about the meeting	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	I need to modify one of my son's reminders.	[IN:UPDATE_REMINDER, IN:GET_CONTACT]
reminder	reminder me to pick up my son from practice on Tuesday at 6	[IN:CREATE_REMINDER]
reminder	Alert me in 15 minutes to leave the house to pick up birthday cake.	[IN:CREATE_REMINDER]
reminder	remind me to brush my teeth tonight	[IN:CREATE_REMINDER]
reminder	Update the dog reminder to dog and cat.	[IN:UPDATE_REMINDER_TODO]
reminder	remind me to buy a christmas gift for lee ann on december 24	[IN:CREATE_REMINDER]
reminder	Remind me of my chiropractic appointment on Monday at 10am.	[IN:CREATE_REMINDER]
reminder	Remind my husband to pick up my prescription tomorrow.	[IN:CREATE_REMINDER, IN:GET_CONTACT]
reminder	Remind me to get 8 cups of water daily to maintain a healthy body.	[IN:CREATE_REMINDER, IN:GET_TODO, IN:GET_RECURRING_DATE_TIME]
reminder	Tim's mother passed away, remind me to send him flowers next Thursday.	[IN:CREATE_REMINDER]
reminder	Change my reminder about buying doughnuts to be for the book club on Friday, not Thursday.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind me to check the mailbox this week.	[IN:CREATE_REMINDER]
reminder	What reminders do I have on next friday	[IN:GET_REMINDER]
reminder	Remind me that my paper is due Before Tuesday 12:00am	[IN:CREATE_REMINDER]
reminder	Set reminder to have Meredith buy Teddy Grahams tomorrow night.	[IN:CREATE_REMINDER]
reminder	Remind Leigha about dance practice at 4pm.	[IN:CREATE_REMINDER]
reminder	set a monthly reminder o make the car payment on the 3rd.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME, IN:GET_TODO]
reminder	Set a daily reminder at 6am to exercise	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	remind me that I have to make a dentist appointment for next week	[IN:CREATE_REMINDER]
reminder	Set a daily reminder this week to get an oil change before Friday.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME, IN:GET_TODO]
reminder	I need to text Macy at 3 pm to see if she wants to go to dinner tonight, remind me.	[IN:CREATE_REMINDER, IN:GET_TODO, IN:SEND_MESSAGE]
reminder	remind me to pack for my trip tomorrow morning	[IN:CREATE_REMINDER]
reminder	make a reminder on Wednesday at noon to finish the Amazon shop	[IN:CREATE_REMINDER]
reminder	Change the reminder for my surgery from Friday to Wednesday please.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Set up a reminder for Aiden feed the dogs twice a day.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me to post the technician job opening by 4 p.m. today.	[IN:CREATE_REMINDER]
reminder	Remind dance troupe to bring extra socks to practice.	[IN:CREATE_REMINDER]
reminder	Create the """"Pay Rent"""" reminder on the 30th and 31st of each month	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Set up a reminder for water aerobics class every Friday at 7pm.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me to send my weekly check in email Monday at noon.	[IN:CREATE_REMINDER, IN:GET_TODO, IN:GET_RECURRING_DATE_TIME, IN:SEND_MESSAGE]
reminder	remind me to send Cherise an email on sunday at 10p	[IN:CREATE_REMINDER, IN:SEND_MESSAGE]
reminder	Remind me to set alarm for 5 am Monday	[IN:CREATE_REMINDER]
reminder	Cancel the reminder that the library summer reading program shop closes on the 31st.	[IN:DELETE_REMINDER]
reminder	Change my daily vitamin reminder from 7AM to 6:30 AM	[IN:UPDATE_REMINDER_DATE_TIME, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me to get meat out of the freezer at 10am daily.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me in a week to unblock Sean from Whatsapp.	[IN:CREATE_REMINDER]
reminder	Remind Kate to mow the lawn Saturday morning.	[IN:CREATE_REMINDER]
reminder	I should write a thank you note for the churchs nice gesture. Can you remind me to do that tonight before 8pm?	[IN:CREATE_REMINDER]
reminder	Remind me to pick up Ice cream	[IN:CREATE_REMINDER]
reminder	Change my doctor's appointment on Thursday, August 2 from 1 p.m. to 2 p.m.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	remind me to Remove the alert on my reminder about call tom at 6 pm.	[IN:CREATE_REMINDER]
reminder	please remind me to send out invitations to husbands retirement party this weekend	[IN:CREATE_REMINDER]
reminder	Remind me to bring Ashley to the movies	[IN:CREATE_REMINDER]
reminder	cancel the reminder for biology study group today	[IN:DELETE_REMINDER]
reminder	remind me about my moms anniversary party on Saturday	[IN:CREATE_REMINDER]
reminder	Drop a reminder on the ufc event	[IN:CREATE_REMINDER]
reminder	Do I have any reminders for Monday afternoon?	[IN:GET_REMINDER]
reminder	Remind me to stop and get gas tomorrow at 7am.	[IN:CREATE_REMINDER]
reminder	Remind me of my children's dentist appointment the day before the appointment.	[IN:CREATE_REMINDER]
reminder	Remind my husband to take his pills every night at 6 pm.	[IN:CREATE_REMINDER, IN:GET_CONTACT, IN:GET_RECURRING_DATE_TIME]
reminder	Set up a reminder two hours before my date on Sunday at 6 pm.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	I need to study for my presentation; can you set a reminder on Wednesday?	[IN:CREATE_REMINDER]
reminder	what reminders do i have set for tomorrow.	[IN:GET_REMINDER]
reminder	Delete my reminder to get gas on the way to school pick up.	[IN:DELETE_REMINDER]
reminder	set a reminder to bring my headphones on vacation	[IN:CREATE_REMINDER]
reminder	Set an alert to put a hold on my mail this Friday	[IN:CREATE_REMINDER]
reminder	Remind Brady and Jackson that we need to leave at 3; alert them an hour before.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Change my reminder to tomorrow.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind the SCA members about the meeting on August 6th at 4pm	[IN:CREATE_REMINDER]
reminder	Remind me 12 hours prior to my routine Dentist appointment, in personal calendar, that I have my recurring  dentist appointment automatically scheduled and  that I must prepare- I mean floss for  !	[IN:CREATE_REMINDER]
reminder	Please set a daily reminder for 5pm to ensure my time card is filled out.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me to check my job alerts every evening at 6pm.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me to take the recycling to the disposal center on Friday next week	[IN:CREATE_REMINDER]
reminder	Alert me that I have to pay the electricity bill due on the 30th of this month.	[IN:CREATE_REMINDER]
reminder	remind me to check in for my flight next week	[IN:CREATE_REMINDER]
reminder	Remind me to text Jennifer tomorrow to invite her to the Sips and Sass dinner.	[IN:CREATE_REMINDER, IN:SEND_MESSAGE]
reminder	Set reminder to make coffee in the morning.	[IN:CREATE_REMINDER]
reminder	What are my reminders for next week?	[IN:GET_REMINDER]
reminder	Remind me to water the plants once a week.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	WHEN IS THERE A REMINDER FOR ALICE'S DANCE CLASS?	[IN:GET_REMINDER]
reminder	Remind me when to set the clocks back one hour this fall.	[IN:CREATE_REMINDER]
reminder	I don't want to be late for work at 9 am; can you alert me 15 minutes before?	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Set a daily reminder at 12 pm to check the sales of my Fabric website.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me tonight to check on supply of paper towels.	[IN:CREATE_REMINDER]
reminder	What reminders do I have for today?	[IN:GET_REMINDER]
reminder	Please set up a daily reminder to go to bed at 10:30pm, except for Saturdays.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME, IN:GET_TODO]
reminder	i forgot to do my homework, remind me to do it later tonight.	[IN:CREATE_REMINDER]
reminder	Delete all reminders for the month of September.	[IN:DELETE_REMINDER]
reminder	Remind me to pick up pads today	[IN:CREATE_REMINDER]
reminder	set a reminder to buy light bulbs for the bathroom	[IN:CREATE_REMINDER]
reminder	Remind me to wake up at 6 for interview tomorrow	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Remind me Friday is trash day.	[IN:CREATE_REMINDER]
reminder	Remind me each week to look at craft ideas on Pinterest.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	remind me to book the Sedona helicopter tour tomorrow	[IN:CREATE_REMINDER]
reminder	Remind me about my tutoring session on Sunday at 7 pm.	[IN:CREATE_REMINDER]
reminder	Set reminder for tomorrow's baby shower	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Set a reminder for our beach trip on Saturday	[IN:CREATE_REMINDER]
reminder	Remind me at 4:30pm when I get home to find the Great Clips coupon for Joe	[IN:CREATE_REMINDER]
reminder	What reminders do I have after 5pm today?	[IN:GET_REMINDER]
reminder	Remind me to pick up a plumbing wrench at 5pm on Thursday.	[IN:CREATE_REMINDER]
reminder	Remind about the school's field trip on Monday at 10am	[IN:CREATE_REMINDER]
reminder	set an alert to go off 10 minutes to 2 pm.	[IN:CREATE_REMINDER]
reminder	Can you remind me that my meeting is at 5 pm?	[IN:CREATE_REMINDER]
