domain	utterance	intents
weather	What counties have a tornado warning	[IN:UNSUPPORTED_WEATHER]
weather	Should I wear rain boots	[IN:GET_WEATHER]
weather	Will the clouds come out today?	[IN:GET_WEATHER]
weather	Will there be a rain delay at the airport?	[IN:GET_WEATHER]
weather	What's the weather forecast?	[IN:GET_WEATHER]
weather	will it rain today	[IN:GET_WEATHER]
weather	how hot is it in florida?	[IN:GET_WEATHER]
weather	It is going to snow in Ohio?	[IN:GET_WEATHER]
weather	Temperature tomorrow morning for Dehli Fahrenheit	[IN:GET_WEATHER]
weather	for Saturday what are you forecasting	[IN:GET_WEATHER]
weather	Tell me the current temperature in Fahrenheit.	[IN:GET_WEATHER]
weather	do I need a sweater tonight	[IN:GET_WEATHER]
weather	Give me the weather for the Azores	[IN:GET_WEATHER]
weather	What is the current weather in Palermo, Italy?	[IN:GET_WEATHER]
weather	Forecast for Norway.	[IN:GET_WEATHER]
weather	What is the weather like in France?	[IN:GET_WEATHER]
weather	How is the weather in Minneapolis in the morning time?	[IN:GET_WEATHER]
weather	In Adelaide what will the weather be on Tuesday morning?	[IN:GET_WEATHER]
weather	do you think ill be able to play outside this afternoon	[IN:UNSUPPORTED_WEATHER]
weather	I need to know the weather forecast for Madrid.	[IN:GET_WEATHER]
weather	Is there going to be a storm this afternoon	[IN:GET_WEATHER]
weather	Will I need snow boots?	[IN:GET_WEATHER]
weather	Are there any fog warnings for my commute today	[IN:GET_WEATHER]
weather	What will the weather be like in New York at 1:00pm?	[IN:GET_WEATHER]
weather	Please tell me tonight's rainfall	[IN:GET_WEATHER]
weather	what time is the sun setting today	[IN:GET_SUNSET]
weather	when does the sun set today?	[IN:GET_SUNSET]
weather	Is it below 55 in Fahrenheit out there tonight	[IN:GET_WEATHER]
weather	Will it be around 67 in degrees Celcius at Mumbai tomorrow	[IN:GET_WEATHER]
weather	Are there any named hurricanes in Fl	[IN:UNSUPPORTED_WEATHER]
weather	Will it be around 73 in f inside tonight	[IN:GET_WEATHER]
weather	Will it be below 29 degree Celcius near Karachi	[IN:GET_WEATHER]
weather	track the storm in the tropics	[IN:UNSUPPORTED_WEATHER]
weather	How much rain have we gotten this month	[IN:UNSUPPORTED_WEATHER]
weather	What's the dew point?	[IN:UNSUPPORTED_WEATHER]
weather	what is the protocol for stormy weather in schools	[IN:UNSUPPORTED_WEATHER]
weather	What is a tornado watch	[IN:UNSUPPORTED_WEATHER]
weather	What is the first day of Autumn this year	[IN:UNSUPPORTED_WEATHER]
weather	Will it be around 62 degrees celcius seattle next week	[IN:GET_WEATHER]
weather	How much time until sunset	[IN:GET_SUNSET]
weather	Temperature out there tonight C	[IN:GET_WEATHER]
weather	when are they calling for snow	[IN:UNSUPPORTED_WEATHER]
weather	The temperature in Fahrenheit outside right now.	[IN:GET_WEATHER]
weather	How hot is it tomorrow in degrees Celsius	[IN:GET_WEATHER]
weather	what time will the sun set in august	[IN:GET_SUNSET]
weather	when is sunrise tomorrow	[IN:GET_SUNRISE]
weather	What time did the sun rise 3 years ago today	[IN:GET_SUNRISE]
weather	what time does the sun set tonight	[IN:GET_SUNSET]
weather	I need the time when it starts getting dark	[IN:GET_SUNSET]
weather	What time will the sun set today	[IN:GET_SUNSET]
weather	when does the sun rise	[IN:GET_SUNRISE]
