domain	utterance	intents
takeaway	i feel like having soup for lunch order from wangs kitchen restaurant a chicken manchow soup	[IN:takeaway_order]
takeaway	call pf chang's to order me egg foo young	[IN:takeaway_order]
takeaway	find and order domino pizza at nearest store of domino	[IN:takeaway_order]
takeaway	does john's pizza have takeaway	[IN:takeaway_query]
takeaway	order me a byron from deliveroo	[IN:takeaway_order]
takeaway	call the closest mexican restaurant	[IN:takeaway_order]
takeaway	i want to know if the olive garden provides takeaway	[IN:takeaway_query]
takeaway	order pizza from domino's	[IN:takeaway_order]
takeaway	order a pizza from pizza express	[IN:takeaway_order]
takeaway	get us spaghetti from pizza hut	[IN:takeaway_order]
takeaway	i would like to order some takeout	[IN:takeaway_order]
takeaway	chai point have delivery option please check it	[IN:takeaway_query]
takeaway	charges of delivery	[IN:takeaway_query]
takeaway	order a pizza	[IN:takeaway_order]
takeaway	how long before my order is delivered	[IN:takeaway_query]
takeaway	confirm the order	[IN:takeaway_order]
takeaway	what is the status of my order no	[IN:takeaway_query]
takeaway	get large pizza with pepperoni	[IN:takeaway_order]
takeaway	order a twelve piece honey mustard wing combo with seasonimg altnon the fries and a sprite as the drink	[IN:takeaway_order]
takeaway	does the restaurant have carryout	[IN:takeaway_query]
takeaway	can i get an order delivered from romero's	[IN:takeaway_query]
takeaway	order takeout pizza from domino's for seven pm	[IN:takeaway_order]
takeaway	price	[IN:takeaway_order]
takeaway	does olive garden have take out	[IN:takeaway_query]
takeaway	where is the closest spot to order food for pickup	[IN:takeaway_query]
takeaway	order me a cheese burger from tommy's burgers	[IN:takeaway_order]
takeaway	i am in need of some pizza what's the closest place that delivers	[IN:takeaway_order]
takeaway	restaurant delivery update	[IN:takeaway_query]
takeaway	start a takeaway order for me	[IN:takeaway_order]
takeaway	order takeout	[IN:takeaway_order]
takeaway	when is my takeaway going to get here	[IN:takeaway_query]
takeaway	give me the best pizza deals offered today	[IN:takeaway_order]
takeaway	i want to eat something will you order food for me	[IN:takeaway_order]
takeaway	does my favourite pizza place available for takeaway	[IN:takeaway_query]
takeaway	food order from grubhub	[IN:takeaway_order]
takeaway	what's the exact time we get food delivered once we place an order for food	[IN:takeaway_query]
takeaway	find the nearest olive garden that has take out service	[IN:takeaway_order]
takeaway	does the restaurant have delivery	[IN:takeaway_query]
takeaway	order two cheeseburgers from wings n. ale on university drive	[IN:takeaway_order]
takeaway	order me some chipotle	[IN:takeaway_order]
takeaway	what is the phone number for the nearest location of church's chicken	[IN:takeaway_query]
takeaway	place an order for two pizzas from dominoes	[IN:takeaway_order]
takeaway	please order my favorite dish from my favorite restaurant	[IN:takeaway_order]
takeaway	does paradise has takeaway	[IN:takeaway_query]
takeaway	what is the status on my latest order	[IN:takeaway_query]
takeaway	order some takeaway food	[IN:takeaway_order]
takeaway	how much time it will take to prepare the order	[IN:takeaway_query]
takeaway	order pizza for delivery	[IN:takeaway_order]
takeaway	check to see if pizza hut has my order on the way	[IN:takeaway_query]
takeaway	tell me all the takeaways nearby and i want to order food	[IN:takeaway_query]
takeaway	i want to order a takeaway from papa john's	[IN:takeaway_order]
takeaway	can i get takeaway from arby's	[IN:takeaway_query]
takeaway	any good fast food items	[IN:takeaway_order]
takeaway	order food	[IN:takeaway_order]
takeaway	i want to order chinese takeout	[IN:takeaway_order]
takeaway	does this restaurant only do carryout	[IN:takeaway_query]
takeaway	status of my restaurant order	[IN:takeaway_query]
takeaway	tell me which catering packages are available	[IN:takeaway_query]
takeaway	hey order me some take out from jason's deli	[IN:takeaway_order]
takeaway	hey does that restaurant have takeout	[IN:takeaway_query]
takeaway	hello i would like to know whether you provide home delivery services	[IN:takeaway_query]
takeaway	call domino's pizza	[IN:takeaway_order]
takeaway	place order for usual burritto at chipolte	[IN:takeaway_order]
takeaway	does dominos deliver	[IN:takeaway_query]
takeaway	when will my food be ready	[IN:takeaway_query]
takeaway	when i will get the delivery	[IN:takeaway_query]
takeaway	ask if deliver	[IN:takeaway_query]
takeaway	does this place do takeaway	[IN:takeaway_query]
takeaway	how much longer on my order	[IN:takeaway_query]
takeaway	i need to order some food from papa john's	[IN:takeaway_order]
takeaway	order mcdonalds	[IN:takeaway_order]
takeaway	is my order at domino's ready	[IN:takeaway_query]
takeaway	open grubhub	[IN:takeaway_order]
takeaway	i would like to order takeaway	[IN:takeaway_order]
takeaway	i need to know if mr pizza delivers	[IN:takeaway_query]
takeaway	does ming ten do take out	[IN:takeaway_query]
takeaway	order a takeaway	[IN:takeaway_order]
takeaway	order chinese from china spring wonton soup and a small beef and broccoli	[IN:takeaway_order]
takeaway	hi there do you offer home delivery for orders	[IN:takeaway_query]
takeaway	prepare the order as soon as possible	[IN:takeaway_query]
takeaway	order a double bacon cheeseburger with bacon an white american cheese	[IN:takeaway_order]
takeaway	will the pizza be here soon	[IN:takeaway_query]
takeaway	is there a takeaway in chipotle restaurant	[IN:takeaway_query]
takeaway	how many minutes do i need to wait to pick up my food from china on the go	[IN:takeaway_query]
takeaway	does fongs have delivery	[IN:takeaway_query]
takeaway	can i order olive garden to go	[IN:takeaway_query]
takeaway	order a large pepperoni pizza from dominos to go	[IN:takeaway_order]
takeaway	selection of restaurants	[IN:takeaway_order]
takeaway	call the nearest thai restaurant with delivery	[IN:takeaway_order]
takeaway	is michael's a takeaway or delivery restaurant	[IN:takeaway_query]
takeaway	what takeout places are near me	[IN:takeaway_order]
takeaway	order food from applebees	[IN:takeaway_order]
takeaway	can i order takeaway from spanish place	[IN:takeaway_order]
takeaway	order chinese food	[IN:takeaway_order]
takeaway	order some fried chicken from church's chicken via grubhub	[IN:takeaway_order]
takeaway	when can i pick up my order	[IN:takeaway_query]
takeaway	when will my chinese food arrive	[IN:takeaway_query]
takeaway	find hotel order food name	[IN:takeaway_order]
takeaway	please order take from jason's deli	[IN:takeaway_order]
takeaway	i want to order a pizza from michael's pizza	[IN:takeaway_order]
takeaway	does this restaurant have takeaway	[IN:takeaway_query]
takeaway	does pizza hut have delivery	[IN:takeaway_query]
takeaway	tell me if taco bell delivers	[IN:takeaway_query]
takeaway	can i get delivery from dominos	[IN:takeaway_query]
takeaway	who takes less of duration of time for delivery	[IN:takeaway_query]
takeaway	what is the status of last take away order	[IN:takeaway_query]
takeaway	what time is my domino's order expected to arrive	[IN:takeaway_query]
takeaway	call pizza hut and order a large pan pizza with ham and mushrooms	[IN:takeaway_order]
takeaway	tell me when taco bell can deliver my dinner	[IN:takeaway_query]
takeaway	i want to eat two pita gyros please and some diet coke	[IN:takeaway_order]
takeaway	find and order handi paneer in pavitra	[IN:takeaway_order]
takeaway	does the nearby chinese restaurant do delivery	[IN:takeaway_query]
takeaway	please put in an order from red thai fpr this evening	[IN:takeaway_order]
takeaway	open the internet	[IN:takeaway_order]
takeaway	call the nearest pizza place that offers buffalo pizza	[IN:takeaway_order]
takeaway	how's the restaurant's delivery going	[IN:takeaway_query]
takeaway	order me the fish risotto from the golden fork	[IN:takeaway_order]
takeaway	order takeout from pizza restaurant	[IN:takeaway_order]
takeaway	find a pizza restaurant open until noon	[IN:takeaway_query]
takeaway	call the restaurant to see if the delivery is on the way	[IN:takeaway_query]
takeaway	maximum kilometer to delivery	[IN:takeaway_query]
takeaway	is is taco o'clock yet	[IN:takeaway_order]
takeaway	does fridays do takeaway	[IN:takeaway_query]
takeaway	order a ham and cheese sandwich from subway	[IN:takeaway_order]
takeaway	does charley's steakhouse deliver	[IN:takeaway_query]
takeaway	does pings have takeaway	[IN:takeaway_query]
takeaway	i would like to have a sushi can you order me a lunch	[IN:takeaway_order]
takeaway	order me a bowl from chipotle takeout	[IN:takeaway_order]
takeaway	find out if the olive garden will let me do takeaway	[IN:takeaway_query]
takeaway	call and order pizza for delivery	[IN:takeaway_order]
takeaway	please call the golden fork and tell them to deliver one portion of the fish risotto	[IN:takeaway_order]
takeaway	do you know the eta of my order	[IN:takeaway_query]
takeaway	takeaway noodles one pack	[IN:takeaway_order]
takeaway	does that restaurant allow call in orders	[IN:takeaway_query]
takeaway	how about some pizza tonight can you please order a pepperoni large	[IN:takeaway_order]
takeaway	call china wok	[IN:takeaway_order]
takeaway	current status of take out order	[IN:takeaway_query]
takeaway	order the best priced general tofu in nyack	[IN:takeaway_order]
takeaway	order two pizzas from dominoes	[IN:takeaway_order]
takeaway	what is the status of my order	[IN:takeaway_query]
takeaway	reviews of the restaurants	[IN:takeaway_query]
takeaway	order from dominos	[IN:takeaway_order]
takeaway	order a large pan pizza with ham and mushrooms from pizza hut	[IN:takeaway_order]
takeaway	search if the restaurant does take out	[IN:takeaway_query]
takeaway	i want to order some takeaway food	[IN:takeaway_order]
takeaway	what happened to my pizza order it has been an hour since i ordered	[IN:takeaway_query]
takeaway	does louie's do take out	[IN:takeaway_query]
takeaway	can i get takeout from pf changs	[IN:takeaway_query]
takeaway	ordering food	[IN:takeaway_order]
takeaway	please could you tell me if george's geek restaurant can i order takeaway from there	[IN:takeaway_query]
takeaway	how long will my order be	[IN:takeaway_query]
takeaway	get me a turkey jimmy johns sub and set it to be delivered at five pm tonight	[IN:takeaway_order]
takeaway	can you order me some buffalo chicken pizza	[IN:takeaway_order]
takeaway	find my food	[IN:takeaway_query]
takeaway	order two hamburgers for me	[IN:takeaway_order]
takeaway	find out if kfc delivers please	[IN:takeaway_query]
takeaway	get me some food	[IN:takeaway_order]
takeaway	who delivers near here	[IN:takeaway_order]
takeaway	order a large plain pizza from mimo's for me	[IN:takeaway_order]
takeaway	tell me the soup of the day at panera bread restaurant	[IN:takeaway_query]
takeaway	i want some curry to go any recommendations	[IN:takeaway_query]
takeaway	order pizza	[IN:takeaway_order]
takeaway	order a pizza for me	[IN:takeaway_order]
takeaway	is the restaurant having delivery facility	[IN:takeaway_query]
takeaway	will they deliver to me	[IN:takeaway_query]
takeaway	does my favorite restaurant do delivery	[IN:takeaway_query]
takeaway	can i take food home here	[IN:takeaway_query]
takeaway	what is the best pizza near me that delivers	[IN:takeaway_order]
takeaway	is there any good chinese takeout that's open late	[IN:takeaway_order]
takeaway	does the nearby pizza hut deliver in my area	[IN:takeaway_query]
takeaway	does shibaru sushi deliver	[IN:takeaway_query]
takeaway	does lechateau have delivery service or only takeaway	[IN:takeaway_query]
takeaway	tell me the takeaway food around this place	[IN:takeaway_query]
takeaway	when will my chinese food be delivered	[IN:takeaway_query]
takeaway	call for takeout	[IN:takeaway_order]
takeaway	it's time for junk food	[IN:takeaway_order]
takeaway	place a takeaway order for a cheeseburger and fries from burger king	[IN:takeaway_order]
takeaway	order chinese for delivery	[IN:takeaway_order]
takeaway	delivery from dominos	[IN:takeaway_query]
takeaway	please find out of charley's steakhouse delivers	[IN:takeaway_query]
takeaway	search for pizza nearby	[IN:takeaway_order]
takeaway	does dominos do takeaway	[IN:takeaway_query]
takeaway	order two large pizzas and pieces of hot wings from dominoes	[IN:takeaway_order]
takeaway	closest chipotle	[IN:takeaway_order]
takeaway	do they deliver home	[IN:takeaway_query]
takeaway	do they have takeout	[IN:takeaway_query]
takeaway	where are my takeaway order	[IN:takeaway_query]
takeaway	find out if the restaurant does takeaway orders	[IN:takeaway_query]
takeaway	when do i need to leave to pick up my order	[IN:takeaway_query]
takeaway	does mr pizza deliver	[IN:takeaway_query]
takeaway	when will by order from taco bell be delivered	[IN:takeaway_query]
takeaway	please order some sushi for dinner	[IN:takeaway_order]
takeaway	places to order takeaway food	[IN:takeaway_order]
takeaway	macdonald shops	[IN:takeaway_order]
takeaway	domino's has takeaway right	[IN:takeaway_query]
takeaway	check the dish price and all	[IN:takeaway_query]
takeaway	yo order take out from jason's deli on sixth ave	[IN:takeaway_order]
takeaway	i want to order some pizza	[IN:takeaway_order]
takeaway	are there any takeaways around here	[IN:takeaway_query]
takeaway	can you order me takeout	[IN:takeaway_order]
takeaway	order me some chinese food	[IN:takeaway_order]
takeaway	how long until my takeaway	[IN:takeaway_query]
takeaway	order the usual from turiellos pizza	[IN:takeaway_order]
takeaway	order ribs for dinner	[IN:takeaway_order]
takeaway	i would like to pickup a veggie sub with a cookie from subway	[IN:takeaway_order]
takeaway	where is my order	[IN:takeaway_query]
takeaway	please check if paradise does takeaway	[IN:takeaway_query]
takeaway	grubhub order	[IN:takeaway_order]
takeaway	place an order for a combo platter from china buffet	[IN:takeaway_order]
takeaway	whats up with my takeaway	[IN:takeaway_query]
takeaway	does mcdonalds do takeaway	[IN:takeaway_query]
takeaway	place a take out order at olive garden	[IN:takeaway_order]
takeaway	could you please confirm if paradise does takeaway	[IN:takeaway_query]
takeaway	make an order for noodles one pack make it as takeaway order	[IN:takeaway_order]
takeaway	how long until i receive my food	[IN:takeaway_query]
takeaway	hey call the nearest chinese restaurant for a takeaway	[IN:takeaway_order]
takeaway	what time can i pick up my food	[IN:takeaway_query]
takeaway	can i get the food to go	[IN:takeaway_query]
takeaway	where is my food	[IN:takeaway_query]
takeaway	checkout domino centre near me and order cheese pizza	[IN:takeaway_order]
takeaway	i want to order some takeout food	[IN:takeaway_order]
takeaway	get me takeaway food	[IN:takeaway_order]
takeaway	is there takeaway at donut junction	[IN:takeaway_query]
takeaway	hey order two wings with french fries from the chinese food store	[IN:takeaway_order]
takeaway	can i order out	[IN:takeaway_order]
takeaway	does arby's do takeaway	[IN:takeaway_query]
takeaway	can you look up chinese takeout near here	[IN:takeaway_order]
takeaway	when can i pick up my chinese food	[IN:takeaway_query]
takeaway	takeaway status	[IN:takeaway_query]
takeaway	i just ordered food call and see it has been delivered	[IN:takeaway_query]
takeaway	schedule a delivery from food at the nearby takeaway diner	[IN:takeaway_order]
takeaway	when is my food going to be here	[IN:takeaway_query]
takeaway	pull up peking garden online	[IN:takeaway_order]
takeaway	can it takeaway from ammi biryani	[IN:takeaway_query]
takeaway	give me options for indian carryout under dollars	[IN:takeaway_order]
takeaway	please see if chili's has delivery	[IN:takeaway_query]
takeaway	order me a large ham and olive pizza from dominos	[IN:takeaway_order]
takeaway	place order for a chicken manchow soup from wangs kitchen restaurant	[IN:takeaway_order]
takeaway	put an order in for two pizzas from dominoes	[IN:takeaway_order]
takeaway	open the grubhub app so i can order take out	[IN:takeaway_order]
takeaway	does restaurant has home delivery	[IN:takeaway_query]
takeaway	when is my takeaway arriving	[IN:takeaway_query]
takeaway	domino's delivery status	[IN:takeaway_query]
takeaway	hey do you have home delivery	[IN:takeaway_query]
takeaway	do they offer takeaway	[IN:takeaway_query]
takeaway	can i carry out with this restaurant	[IN:takeaway_query]
takeaway	order six chicken tacos from chipotle	[IN:takeaway_order]
takeaway	order a meal from a nice restaurant	[IN:takeaway_order]
takeaway	i'm in the mood to order takeaway	[IN:takeaway_order]
takeaway	when is my order ready	[IN:takeaway_query]
takeaway	open takeout menus	[IN:takeaway_order]
takeaway	when is my order arriving	[IN:takeaway_query]
takeaway	show me chinese food near me	[IN:takeaway_order]
takeaway	i am really craving for chinese food right now please let me order take out	[IN:takeaway_order]
takeaway	when my takeaway order will arrive	[IN:takeaway_query]
takeaway	does the nearby dominos have delivery	[IN:takeaway_query]
takeaway	could you order sushi for tonight dinner	[IN:takeaway_order]
takeaway	call eastwind and order lomaine to go	[IN:takeaway_order]
takeaway	pull up the menu for the closest mexican restaurant	[IN:takeaway_order]
takeaway	call peking garden	[IN:takeaway_order]
takeaway	restaurant order status	[IN:takeaway_query]
takeaway	order one pizza from pizza hut	[IN:takeaway_order]
