domain	utterance	intents
navigation	How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION]
navigation	Will it take shorter to get to the White House by bus or taxi?	[IN:UNSUPPORTED_NAVIGATION]
navigation	will I make it to the beach by noon if I leave now	[IN:GET_ESTIMATED_ARRIVAL, IN:GET_LOCATION]
navigation	When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	[IN:GET_ESTIMATED_DEPARTURE, IN:GET_LOCATION_HOME, IN:GET_LOCATION]
navigation	I need to know if there's a lot of traffic on my way home	[IN:GET_INFO_TRAFFIC, IN:GET_LOCATION_HOME]
navigation	What is the shortest way home	[IN:GET_DIRECTIONS, IN:GET_LOCATION_HOME]
navigation	how long will it take me to drive to fort collins	[IN:GET_ESTIMATED_DURATION]
navigation	how long would it take to ride a bus to jeddah from madina travelling at 8AM?	[IN:GET_ESTIMATED_DURATION]
navigation	traffic to Midway Airport	[IN:GET_INFO_TRAFFIC, IN:GET_LOCATION]
navigation	IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE  ON THE WAY TO BROOKLYN	[IN:GET_INFO_TRAFFIC, IN:GET_LOCATION]
navigation	What's the best route to take to the portland airport	[IN:GET_DIRECTIONS, IN:GET_LOCATION]
navigation	Is there any traffic if I drive to St George today	[IN:GET_INFO_TRAFFIC]
navigation	How is traffic heading to Dad's house	[IN:GET_INFO_TRAFFIC, IN:GET_LOCATION_HOME]
navigation	Are there downed power lines on freemont ave that might make me late to the movie?	[IN:GET_INFO_TRAFFIC]
navigation	If I take off now what time should I arrive at Fenway Park?	[IN:GET_ESTIMATED_ARRIVAL, IN:GET_LOCATION]
navigation	How many hours is it drive time between Knoxville and Memphis?	[IN:GET_ESTIMATED_DURATION]
navigation	best way to reach work today	[IN:GET_DIRECTIONS, IN:GET_LOCATION_WORK]
navigation	Look up directions to nearest public parking near S Beritania Street	[IN:GET_DIRECTIONS, IN:GET_LOCATION, IN:GET_LOCATION]
navigation	Route to the mall	[IN:GET_DIRECTIONS, IN:GET_LOCATION]
navigation	find me the nearest gas station off of 5th ave north.	[IN:GET_LOCATION, IN:GET_LOCATION]
navigation	Is the rain making it  hard to get to the rugby tournament today?	[IN:GET_INFO_ROAD_CONDITION, IN:GET_EVENT]
navigation	What's the traffic like heading in to work	[IN:GET_INFO_TRAFFIC, IN:GET_LOCATION_WORK]
navigation	how long will it take to get to D.C from baltimore	[IN:GET_ESTIMATED_DURATION]
navigation	How many miles apart is Los Angeles and Anaheim	[IN:GET_DISTANCE]
navigation	how far is the history museum from mike's work?	[IN:GET_DISTANCE, IN:GET_LOCATION, IN:GET_LOCATION_WORK]
navigation	how long is the trip to grandma's	[IN:GET_ESTIMATED_DURATION, IN:GET_LOCATION_HOME]
navigation	How long will it take me to get to the Target on Centre Street in Abington	[IN:GET_ESTIMATED_DURATION, IN:GET_LOCATION]
navigation	Can I get heavy traffic alerts when there is a back up on my route to work	[IN:UNSUPPORTED_NAVIGATION]
