domain	utterance	intents
music	loop that album	[IN:LOOP_MUSIC]
music	Repeat the last album	[IN:REPLAY_MUSIC]
music	Repeat song	[IN:REPLAY_MUSIC]
music	Loop this album	[IN:LOOP_MUSIC]
music	I want to replay that song again	[IN:REPLAY_MUSIC]
music	I need to Loop the Current album	[IN:LOOP_MUSIC]
music	I want to keep listening to this album	[IN:REPLAY_MUSIC]
music	Play the last album again	[IN:PREVIOUS_TRACK_MUSIC]
music	last playlist again	[IN:REPLAY_MUSIC]
music	Keep rolling that, please	[IN:LOOP_MUSIC]
music	start the playlist from the beginning	[IN:REPLAY_MUSIC]
music	Put the song back on	[IN:REPLAY_MUSIC]
music	please put song on repeat	[IN:REPLAY_MUSIC]
music	play that album again	[IN:REPLAY_MUSIC]
music	Loop the whole album	[IN:LOOP_MUSIC]
music	Repeat the last song immediately	[IN:PREVIOUS_TRACK_MUSIC]
music	play that playlist one more time	[IN:REPLAY_MUSIC]
music	Play two random songs from my database	[IN:PLAY_MUSIC]
music	Repeat all of those songs	[IN:REPLAY_MUSIC]
music	restart last song	[IN:PREVIOUS_TRACK_MUSIC]
music	loop this track	[IN:LOOP_MUSIC]
music	Repeat the last song for Mr. Johnson	[IN:PREVIOUS_TRACK_MUSIC]
music	Please play the last song	[IN:PLAY_MUSIC]
music	loop the album	[IN:LOOP_MUSIC]
music	replay the song please	[IN:REPLAY_MUSIC]
music	play that album again	[IN:REPLAY_MUSIC]
music	replay this album	[IN:REPLAY_MUSIC]
music	Loop Bodak Yellow	[IN:LOOP_MUSIC]
music	Play that song one more time	[IN:REPLAY_MUSIC]
music	Pause the song	[IN:PAUSE_MUSIC]
music	START AN ALL AMERICAN REJECTS STATION ON PANDORA	[IN:PLAY_MUSIC]
music	play country	[IN:PLAY_MUSIC]
music	repeat this track	[IN:REPLAY_MUSIC]
music	Next song	[IN:SKIP_TRACK_MUSIC]
music	Play me some jazz	[IN:PLAY_MUSIC]
music	skip this song	[IN:SKIP_TRACK_MUSIC]
music	Play music	[IN:PLAY_MUSIC]
music	next track please	[IN:SKIP_TRACK_MUSIC]
music	Play a Bette Midler song please.	[IN:PLAY_MUSIC]
music	put this song on loop	[IN:LOOP_MUSIC]
music	Please play some old school music	[IN:PLAY_MUSIC]
music	Play jazz music	[IN:PLAY_MUSIC]
music	Shuffle play my playlist.	[IN:START_SHUFFLE_MUSIC]
music	pause song	[IN:PAUSE_MUSIC]
music	switch to reggae music	[IN:PLAY_MUSIC]
music	don't play that song anymore	[IN:DISLIKE_MUSIC]
music	play j.coles first album	[IN:PLAY_MUSIC]
music	Play music by Prince.	[IN:PLAY_MUSIC]
music	let me turn up to some jazz	[IN:PLAY_MUSIC]
music	Play country list on Pandora	[IN:PLAY_MUSIC]
music	Play Listen by Beyonce.	[IN:PLAY_MUSIC]
music	I want to listen to Adele's latest album	[IN:PLAY_MUSIC]
music	go to next song	[IN:SKIP_TRACK_MUSIC]
music	play fire by ed sheeran	[IN:PLAY_MUSIC]
music	Loop this song.	[IN:LOOP_MUSIC]
music	Can you play that last song again?	[IN:PREVIOUS_TRACK_MUSIC]
music	play video game orchestra music	[IN:PLAY_MUSIC]
music	Play me Kissing Strangers by DNCE.	[IN:PLAY_MUSIC]
music	I want to listen to all Beyonce songs	[IN:PLAY_MUSIC]
music	play the last song again	[IN:PREVIOUS_TRACK_MUSIC]
music	play Outkast's new song	[IN:PLAY_MUSIC]
music	Skip to song number 7 in the current track.	[IN:SKIP_TRACK_MUSIC]
music	play country music	[IN:PLAY_MUSIC]
music	Play the album this song is in.	[IN:PLAY_MUSIC]
music	change the channel on pandora	[IN:PLAY_MUSIC]
music	repeat song	[IN:REPLAY_MUSIC]
music	take this off my playlist	[IN:REMOVE_FROM_PLAYLIST_MUSIC]
music	Pause song please	[IN:PAUSE_MUSIC]
music	play the last track	[IN:PLAY_MUSIC]
music	Repeat last song	[IN:PREVIOUS_TRACK_MUSIC]
music	Play Beyonce drunk in love song	[IN:PLAY_MUSIC]
music	I like this song	[IN:LIKE_MUSIC]
music	Listen to my recently added playlist	[IN:PLAY_MUSIC]
music	play christian music	[IN:PLAY_MUSIC]
music	please play smooth jazz	[IN:PLAY_MUSIC]
music	skip this song	[IN:SKIP_TRACK_MUSIC]
music	I want to listen to relaxing water sounds	[IN:PLAY_MUSIC]
music	view Nils Frahm on spotify	[IN:PLAY_MUSIC]
music	re-play previous track	[IN:PREVIOUS_TRACK_MUSIC]
music	Play gucci mane on Spotify	[IN:PLAY_MUSIC]
music	Skip to the next artist.	[IN:SKIP_TRACK_MUSIC]
music	Repeat Fall on Me	[IN:REPLAY_MUSIC]
music	Pause this music	[IN:PAUSE_MUSIC]
music	repeat last song	[IN:PREVIOUS_TRACK_MUSIC]
music	Skip this song	[IN:SKIP_TRACK_MUSIC]
music	Play me some neo-soul music	[IN:PLAY_MUSIC]
music	Play the top hits of today.	[IN:PLAY_MUSIC]
music	Please put playlist on repeat	[IN:LOOP_MUSIC]
music	play the next track	[IN:SKIP_TRACK_MUSIC]
music	replay last 2 tracks	[IN:PREVIOUS_TRACK_MUSIC]
music	Repeat last song	[IN:PREVIOUS_TRACK_MUSIC]
music	Can I hear the King Arthur soundtrack?	[IN:PLAY_MUSIC]
music	Skip to the next song	[IN:SKIP_TRACK_MUSIC]
music	Repeat the title song from Dear Evan Hansen	[IN:REPLAY_MUSIC]
music	Don't play any Pink songs.	[IN:REMOVE_FROM_PLAYLIST_MUSIC]
music	I want to hear the last song again.	[IN:PREVIOUS_TRACK_MUSIC]
music	do not play this	[IN:REMOVE_FROM_PLAYLIST_MUSIC]
music	Play this song on repeat	[IN:LOOP_MUSIC]
music	play some hip hop	[IN:PLAY_MUSIC]
music	Can I listen to Loser by Falling in Reverse on Spotify	[IN:PLAY_MUSIC]
music	Skip this track	[IN:SKIP_TRACK_MUSIC]
music	neil diamond music	[IN:PLAY_MUSIC]
music	pause song	[IN:PAUSE_MUSIC]
music	skip this song	[IN:SKIP_TRACK_MUSIC]
music	I don't like this song	[IN:DISLIKE_MUSIC]
music	Go back to the last song.	[IN:PREVIOUS_TRACK_MUSIC]
music	skip this song	[IN:SKIP_TRACK_MUSIC]
music	Please play me some acoustic songs	[IN:PLAY_MUSIC]
music	play me the singles soundtrack	[IN:PLAY_MUSIC]
music	Play only country music.	[IN:PLAY_MUSIC]
music	Play the latest Jessica Simpson album	[IN:PLAY_MUSIC]
music	skip this song	[IN:SKIP_TRACK_MUSIC]
music	Play me Country	[IN:PLAY_MUSIC]
music	repeat the song	[IN:REPLAY_MUSIC]
music	Play new age music	[IN:PLAY_MUSIC]
music	Play Disney music.	[IN:PLAY_MUSIC]
music	Can we play this music in another room?	[IN:PLAY_MUSIC]
music	Create new playlist based on Castle on the Hill	[IN:CREATE_PLAYLIST_MUSIC]
music	Repeat current song.	[IN:REPLAY_MUSIC]
music	play rock	[IN:PLAY_MUSIC]
music	replay Blueberry Hill	[IN:REPLAY_MUSIC]
music	skip this song	[IN:SKIP_TRACK_MUSIC]
music	listen to song again	[IN:REPLAY_MUSIC]
