domain	utterance	intents
reminder	delete the reminder about the meeting on Wednesday	[IN:DELETE_REMINDER]
reminder	Change the reminder for babysitting to next wednesday	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	delete my yearly anniversay reminderx	[IN:DELETE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	add milk to todays reminder	[IN:CREATE_REMINDER]
reminder	Remind me to meet my wife for lunch and hour before the appointment I can not be late again.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Move our reminder about Aunt Liz's birthday to next Monday.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind me at 6 pm tomorrow that i need to record a new youtube video.	[IN:CREATE_REMINDER]
reminder	Delete the wake Susan for work reminder	[IN:DELETE_REMINDER]
reminder	Where am I supposed to go Per my reminder for my brunch with Caroline coming up this Thursday after work?	[IN:GET_REMINDER_LOCATION, IN:GET_TODO]
reminder	I have a blood test tomorrow; remind me at 10 pm tonight not to eat any food.	[IN:CREATE_REMINDER]
reminder	Remind me to visit the eye doctor tomorrow	[IN:CREATE_REMINDER]
reminder	Can you alert me with a reminder about the meeting I have at 3pm?	[IN:CREATE_REMINDER]
reminder	IS THERE A REMINDER FOR CHECKING CELL PHONE DATA USAGE?	[IN:GET_REMINDER]
reminder	remind me to finish writing jackie's card tonight at 7:00	[IN:CREATE_REMINDER]
reminder	did i set an reminder for becca's birthday?	[IN:GET_REMINDER]
reminder	Delete my brunch reminder for Sunday with the Ross's	[IN:DELETE_REMINDER, IN:GET_TODO]
reminder	Cancel reminder for dinner next week	[IN:DELETE_REMINDER]
reminder	Read me all my reminders for next week.	[IN:GET_REMINDER]
reminder	I don't need a reminder for the birthday party this evening remove it	[IN:DELETE_REMINDER, IN:GET_TODO]
reminder	what reminders do i have for tuesday	[IN:GET_REMINDER]
reminder	Show me all the reminders for our get-together.	[IN:GET_REMINDER]
reminder	Remind me that I have a golf tournament on August 15th	[IN:CREATE_REMINDER]
reminder	Can you remove my reminder to visit my general practitioner for my yearly check-up?	[IN:DELETE_REMINDER]
reminder	remind me to set up a reminder to take the trash out.	[IN:CREATE_REMINDER]
reminder	set a reminder for every friday this month to feed my snake	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remind me to pay my rent on August 3rd.	[IN:CREATE_REMINDER]
reminder	How many days left till my dentist appointment reminder	[IN:GET_REMINDER_DATE_TIME]
reminder	Can you please remind me to take my medicine every day at 7:00 AM?	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	remind me to go to school open house thursday	[IN:CREATE_REMINDER]
reminder	Instead of reminding me on Thursday, remind me Friday morning before 8 a.m.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Show the event reminders for this weekend.	[IN:GET_REMINDER]
reminder	Change vacation reminder to saturday instead of sunday	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind me to sign up for Cycling class tonight at 8:00 pm	[IN:CREATE_REMINDER]
reminder	Remind me to watch the tv serie today at 7:30	[IN:CREATE_REMINDER]
reminder	how many more weeks until my dads birthday reminder	[IN:GET_REMINDER_DATE_TIME]
reminder	Remind me to schedule B her yearly checkup on Monday.	[IN:CREATE_REMINDER]
reminder	Remind me to take out the trash.	[IN:CREATE_REMINDER]
reminder	move the party reminder on saturday to 3pm	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind me to start cooking the dinner at 3pm.	[IN:CREATE_REMINDER]
reminder	Remind me when its 5pm	[IN:CREATE_REMINDER]
reminder	Set up a reminder for Lisa about our meeting on Wednesday.	[IN:CREATE_REMINDER]
reminder	Do I have any reminders to buy milk?	[IN:GET_REMINDER]
reminder	get me all reminders about school meetings next week	[IN:GET_REMINDER]
reminder	Delete my reminder for the play on Thursday.	[IN:DELETE_REMINDER]
reminder	What are my reminders for all day tomorrow?	[IN:GET_REMINDER]
reminder	remind me to take a break in an hour	[IN:CREATE_REMINDER]
reminder	please remind me to change the time for the parent teacher conference on tuesday at 10am	[IN:CREATE_REMINDER]
reminder	Cancel my reminders for tomorrow	[IN:DELETE_REMINDER]
reminder	Help me remember to pay my car insurance quarterly premium on Friday the 3rd.	[IN:CREATE_REMINDER]
reminder	delete my weekly reminders for my meetings.	[IN:DELETE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Remove the alert for the breakfast meeting Tuesday.	[IN:DELETE_REMINDER]
