domain	utterance	intents
reminder	Do I have any reminders for Saturday?	[IN:GET_REMINDER]
reminder	please remove all game night reminders for January	[IN:DELETE_REMINDER]
reminder	set reminder to pick up eggs tonight	[IN:CREATE_REMINDER]
reminder	Remind me to feed my dog at 5	[IN:CREATE_REMINDER]
reminder	Please remind my golf group about next tournament	[IN:CREATE_REMINDER]
reminder	Remind me to email the HOA about the fencing company coming to do an estimate next Tuesday at 10 AM.	[IN:CREATE_REMINDER, IN:SEND_MESSAGE]
reminder	Remind me to wake up tomorrow at 9am	[IN:CREATE_REMINDER]
reminder	Cancel all of today's reminders.	[IN:DELETE_REMINDER]
reminder	I've got a gala to attend this Saturday night; can you remind me on Saturday at 12 pm?	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	remind me to pick up pizza	[IN:CREATE_REMINDER]
reminder	move my reminder for getting flowers for Lisa to Friday	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind me to wash the car on Saturday	[IN:CREATE_REMINDER]
reminder	Add the time 9pm to my Sunday reminder	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Set a reminder to bake cookies for the birthday party Saturday.	[IN:CREATE_REMINDER]
reminder	I don't want to oversleep for my class, so can you set my reminder for 9 am?	[IN:CREATE_REMINDER]
reminder	Remind me about the confirmation meeting on the 15th at 6:30 PM.	[IN:CREATE_REMINDER]
reminder	Remind me the flight tomorrow at 6am	[IN:CREATE_REMINDER]
reminder	display today's reminders	[IN:GET_REMINDER]
reminder	List current reminders.	[IN:GET_REMINDER]
reminder	Change the PTA meeting from 6pm to 7pm on Saturday.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Find the reminder for the cat's vet visit in November.	[IN:GET_REMINDER]
reminder	Delete the 7:15 PM reminder about Jessica's baby shower.	[IN:DELETE_REMINDER]
reminder	Change interivew reminder to 2pm	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Please change all of Ray's chore reminders to include trimming the bushes	[IN:UPDATE_REMINDER_TODO]
reminder	remind me to check pie in 55 minutes	[IN:CREATE_REMINDER]
reminder	Remind me daily to buy a present for Papa before July 28th.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME, IN:GET_TODO]
reminder	back to school event create reminder	[IN:CREATE_REMINDER]
reminder	show my shopping reminder	[IN:GET_REMINDER]
reminder	Set bedtime reminder for my son starting August 20th.	[IN:CREATE_REMINDER, IN:GET_CONTACT]
reminder	Remind me to buy milk	[IN:CREATE_REMINDER]
reminder	Take off all the alerts about visiting my doctor and therapy.	[IN:DELETE_REMINDER]
reminder	Remind me that the school's open house starts at 10 am Wednesday	[IN:CREATE_REMINDER]
reminder	remind me to get gas for the lawn mower tomorrow	[IN:CREATE_REMINDER]
reminder	dinner plans have changed to 8:30, please change my reminder	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	set a reminder for my homework assignment	[IN:CREATE_REMINDER]
reminder	Remind me to grab my son's lunch every morning.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	Can you remind me every day at 1:30 PM to look for jobs for Alesha.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	remind my cooking group to bring meat tonight	[IN:CREATE_REMINDER]
reminder	set am alarm for the next to weeks to remind me daily to feed the neighbors cat.	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	please delete my reminders for the remainder of the week	[IN:DELETE_REMINDER]
reminder	Please remind me to order Kali's school supplies before Friday.	[IN:CREATE_REMINDER]
reminder	any reminder?	[IN:GET_REMINDER]
reminder	Where is my reminder for the work that needs to be done on my car	[IN:GET_REMINDER]
reminder	I need to submit my HOA payment at 3 tomorrow afternoon. Can you remind me?	[IN:CREATE_REMINDER, IN:GET_TODO]
