domain	utterance	intents
reminder	Please remind me to make a schedule	[IN:CREATE_REMINDER]
reminder	Set up a new reminder for me to remember to get bread tonight	[IN:CREATE_REMINDER]
reminder	Can you remind me to buy hamburgers for Allyson's party on Saturday?	[IN:CREATE_REMINDER]
reminder	Remind me about the event on Sunday 6 hours before it starts.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	Remind me of Punch and Lunch at 111 AM on August 28.	[IN:CREATE_REMINDER]
reminder	Remind me to bring donuts to church on Sunday.	[IN:CREATE_REMINDER]
reminder	Stop all reminders about mom.	[IN:DELETE_REMINDER]
reminder	Remind me tonight to set my alarm for 10am.	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	I don't want to forget to change the fish tank	[IN:CREATE_REMINDER]
reminder	Remind me to mail bills tomorrow	[IN:CREATE_REMINDER]
reminder	Delete the reminder about buying dog food since my husband already bought it.	[IN:DELETE_REMINDER]
reminder	I have a conference call scheduled for Wed at 10 am set a reminder for 8:45 I need to sign in every Wed til the end of the year.	[IN:CREATE_REMINDER, IN:GET_TODO, IN:GET_RECURRING_DATE_TIME]
reminder	Replace the reminder to meet the running group on Monday to Tuesday.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Remind me to let the dog out of there kennels when Aaron picks them up Monday	[IN:CREATE_REMINDER]
reminder	Remind me in 5 minutes.	[IN:CREATE_REMINDER]
reminder	Are there any reminders for Friday?	[IN:GET_REMINDER]
reminder	Remind me about a meeting with Dan Friday 4pm	[IN:CREATE_REMINDER, IN:GET_TODO]
reminder	change reminder to one oclock PM	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	Set a reminder alert to pay my credit card bill tomorrow at 1pm	[IN:CREATE_REMINDER]
reminder	Can you delete my reminders for April 10th of next year?	[IN:DELETE_REMINDER]
reminder	Show reminders for today	[IN:GET_REMINDER]
reminder	Remind me about the fireworks Saturday	[IN:CREATE_REMINDER]
reminder	Remove the reminder for tonight at 9 pm	[IN:DELETE_REMINDER]
reminder	Discontinue the reminder about taking my moms dog out	[IN:DELETE_REMINDER]
reminder	remind me to go left at the light	[IN:CREATE_REMINDER]
reminder	Set an alert for Sat morning at 9 o'clock to remind me to pick up my dry cleaning.	[IN:CREATE_REMINDER]
reminder	Move the morning work meeting reminder to this Friday at 9 A.M.	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	remind me to send an email about the kids school information by 5pm today	[IN:CREATE_REMINDER, IN:SEND_MESSAGE]
reminder	Remind me to watch the office at 7	[IN:CREATE_REMINDER]
reminder	Cancel my reminder to walk the dog	[IN:DELETE_REMINDER]
reminder	how many dr appointment reminders did i have in 2017	[IN:GET_REMINDER_AMOUNT]
reminder	Set a reminder to switch laundry at 6 pm tonight	[IN:CREATE_REMINDER]
reminder	Set up a reminder for 9 PM EDT to watch the soccer game on TV.	[IN:CREATE_REMINDER]
reminder	Remind me to visit Mercy tomorrow.	[IN:CREATE_REMINDER]
reminder	please clear all my reminders for next week	[IN:DELETE_REMINDER]
reminder	remind me to get groceries on Friday	[IN:CREATE_REMINDER]
reminder	Remind me to buy tickets when they go on sale at 1PM	[IN:CREATE_REMINDER]
reminder	Remind Ray to take the cat the vet Monday morning at 9 am.	[IN:CREATE_REMINDER]
reminder	Change my daily church reminder to Sunday's at 8:30 am.	[IN:UPDATE_REMINDER_DATE_TIME, IN:GET_RECURRING_DATE_TIME]
reminder	change reminder about cakel's football practice from wednesday to friday	[IN:UPDATE_REMINDER_DATE_TIME]
reminder	do i have a reminder for a vet appointment coming up	[IN:GET_REMINDER]
reminder	create a plan	[IN:CREATE_REMINDER]
reminder	Remind me to take the chicken out of the oven in 10 minutes.	[IN:CREATE_REMINDER]
reminder	Set a reminder every day to stretch before bedtime	[IN:CREATE_REMINDER, IN:GET_RECURRING_DATE_TIME]
reminder	remind me to order chinese food for dinner tonight	[IN:CREATE_REMINDER]
reminder	Can you please remove all the reminders for the 22nd of September and the 23rd?	[IN:DELETE_REMINDER]
reminder	Remind my spinning class to bring extra water.	[IN:CREATE_REMINDER]
