domain	utterance	intents
lists	create a list of books to be ordered	[IN:lists_createoradd]
lists	delete my list	[IN:lists_remove]
lists	please remove the kickball list from my contacts grouping	[IN:lists_remove]
lists	add eggs to my grocery's shopping list	[IN:lists_createoradd]
lists	please put bread on the grocery list	[IN:lists_createoradd]
lists	lists	[IN:lists_query]
lists	add red wine to my shopping list	[IN:lists_createoradd]
lists	remember to put carrots in there	[IN:lists_createoradd]
lists	list lists	[IN:lists_query]
lists	evaluate today's schedule	[IN:lists_query]
lists	give me my list	[IN:lists_query]
lists	please remove my to do list from today	[IN:lists_remove]
lists	list the items on my shopping list	[IN:lists_query]
lists	add buy groceries to my to do list for today	[IN:lists_createoradd]
lists	Delete all mails from fghcom	[IN:lists_remove]
lists	produce a new register	[IN:lists_createoradd]
lists	delete that item from the list	[IN:lists_remove]
lists	can you create a list for me	[IN:lists_createoradd]
lists	give me the details on purchase order	[IN:lists_query]
lists	add apples to shopping list	[IN:lists_createoradd]
lists	please repeat my shopping list	[IN:lists_query]
lists	add paav bhaji in menu card	[IN:lists_createoradd]
lists	please create a new list for me	[IN:lists_createoradd]
lists	cancel the milk from the shopping list	[IN:lists_remove]
lists	what lists do i have saved	[IN:lists_query]
lists	list items on my work list	[IN:lists_query]
lists	add new checklist	[IN:lists_createoradd]
lists	make list	[IN:lists_createoradd]
lists	name off all the lists i own	[IN:lists_query]
lists	open a new list for me	[IN:lists_createoradd]
lists	remove this list from the others	[IN:lists_remove]
lists	trash file one	[IN:lists_remove]
lists	did i make a shopping list	[IN:lists_query]
lists	remove item three	[IN:lists_remove]
lists	what open lists do i have	[IN:lists_query]
lists	tell me what is in your list	[IN:lists_query]
lists	please read what is on my grocery list	[IN:lists_query]
lists	remove grocery list please	[IN:lists_remove]
lists	remove shopping list	[IN:lists_remove]
lists	what things do i have on my morning to do list	[IN:lists_query]
lists	create a new shopping list	[IN:lists_createoradd]
lists	list of lists please	[IN:lists_query]
lists	remove buying eggs item from to do list	[IN:lists_remove]
lists	remove my latest list	[IN:lists_remove]
lists	list remove	[IN:lists_remove]
lists	what lists do i have	[IN:lists_query]
lists	what is on my to do list today	[IN:lists_query]
lists	kill item	[IN:lists_remove]
lists	there are anything in my list	[IN:lists_query]
lists	read out my to do list	[IN:lists_query]
lists	how many items are on my list	[IN:lists_query]
lists	remove this list	[IN:lists_remove]
lists	create a new grocery list	[IN:lists_createoradd]
lists	remove etres tes mains by artifice palace from my spotify playlist chune	[IN:lists_remove]
lists	state the list i have	[IN:lists_query]
lists	the available lists	[IN:lists_query]
lists	what else is missing in the diary	[IN:lists_query]
lists	list things on my list	[IN:lists_query]
lists	whats on my shopping list	[IN:lists_query]
lists	this item should be removed from list	[IN:lists_remove]
lists	create a new list of my pending bills	[IN:lists_createoradd]
lists	include an item to a list	[IN:lists_createoradd]
lists	add bob to my list of contacts	[IN:lists_createoradd]
lists	create a new list called grocery store please	[IN:lists_createoradd]
lists	please remove the first list	[IN:lists_remove]
lists	grocery list add eggs	[IN:lists_createoradd]
lists	what are the lists i have	[IN:lists_query]
lists	i need to add water to my kroger list	[IN:lists_createoradd]
lists	delete item	[IN:lists_remove]
lists	this item should be added to the list	[IN:lists_createoradd]
lists	i want to know the particulars in shopping list	[IN:lists_query]
lists	i have all details about pda's	[IN:lists_query]
lists	give me the list of the top five safest cars to buy	[IN:lists_query]
lists	what list i have for today	[IN:lists_query]
lists	go fetch all the lists from the notes app	[IN:lists_query]
lists	take item off list	[IN:lists_remove]
lists	what are my lists so far	[IN:lists_query]
lists	delete the song what if in my music	[IN:lists_remove]
lists	how many food items on the list	[IN:lists_query]
lists	remove a list	[IN:lists_remove]
lists	start a list of dog names	[IN:lists_createoradd]
lists	can you remove remove buying eggs item from my to do list	[IN:lists_remove]
lists	tell me the names on the list	[IN:lists_query]
lists	read out my list	[IN:lists_query]
lists	what are listed	[IN:lists_query]
lists	do i have anything planned for today	[IN:lists_query]
lists	get rid of the last list	[IN:lists_remove]
lists	please create a new list	[IN:lists_createoradd]
lists	show me my lists	[IN:lists_query]
lists	add something to my list	[IN:lists_createoradd]
lists	what did i put down already on the walmart list	[IN:lists_query]
lists	remove lunch with co workers on thursday	[IN:lists_remove]
lists	check list	[IN:lists_query]
lists	make a list of numbers for me	[IN:lists_createoradd]
lists	add coffee to the grocery list	[IN:lists_createoradd]
lists	remove apple from list	[IN:lists_remove]
lists	delete happy dance playlist	[IN:lists_remove]
lists	add diapers in cosmetic list	[IN:lists_createoradd]
lists	how can i delete an item	[IN:lists_remove]
lists	add a tab to the shopping list	[IN:lists_createoradd]
lists	add the item to a list	[IN:lists_createoradd]
lists	make a list about selena gomez concert schedule	[IN:lists_createoradd]
lists	tell me the name of my lists	[IN:lists_query]
lists	can you tell me whats on my shopping list	[IN:lists_query]
lists	google translate	[IN:lists_query]
lists	can i check my lists	[IN:lists_query]
lists	favorite places to eat	[IN:lists_query]
lists	please find all name start with alphabetic of a and create a list	[IN:lists_createoradd]
lists	what is on the menu for dinner this evening	[IN:lists_query]
lists	describe the list contents	[IN:lists_query]
lists	i need to start a list called x	[IN:lists_createoradd]
lists	do i have any lists	[IN:lists_query]
lists	google i need you to delete the current list	[IN:lists_remove]
lists	tell me what is on the list	[IN:lists_query]
lists	we need milk	[IN:lists_createoradd]
lists	remove table from furniture	[IN:lists_remove]
lists	any special events on my list	[IN:lists_query]
lists	display my list	[IN:lists_query]
lists	make a things to do list	[IN:lists_createoradd]
lists	add business contacts to contact list	[IN:lists_createoradd]
lists	tdl	[IN:lists_query]
lists	will you please show me my lists	[IN:lists_query]
lists	re add eggs to the list	[IN:lists_createoradd]
lists	start me a new list	[IN:lists_createoradd]
lists	what are all the lists i have	[IN:lists_query]
lists	add build my resume to my to do list	[IN:lists_createoradd]
lists	talk to me about the list	[IN:lists_query]
lists	delete a list	[IN:lists_remove]
lists	whats on my list for the time being	[IN:lists_query]
lists	hey i need you to make a list of cricket players of indian team who played for the international team in two thousand and fourteen	[IN:lists_createoradd]
lists	send me the last list uploaded	[IN:lists_query]
lists	i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist	[IN:lists_remove]
lists	what lists are in my notebook	[IN:lists_query]
lists	please delete this item	[IN:lists_remove]
lists	delete the to do list on march eighteen two thousand and seventeen	[IN:lists_remove]
lists	add grocery shopping to today's to do list	[IN:lists_createoradd]
lists	remove list of outgoing calls	[IN:lists_remove]
lists	remove the grocery list from my active lists	[IN:lists_remove]
lists	delete item four	[IN:lists_remove]
lists	do i have repair work today	[IN:lists_query]
lists	i need to make a grocery list	[IN:lists_createoradd]
lists	remove item four	[IN:lists_remove]
lists	delete from playlist my old english songs list	[IN:lists_remove]
lists	can you remove my to do list	[IN:lists_remove]
lists	all food items with the prefix dry should be taken away from the list	[IN:lists_remove]
lists	open my notes	[IN:lists_createoradd]
lists	can you read me my lists	[IN:lists_query]
lists	can you read my list off to me	[IN:lists_query]
lists	delete list	[IN:lists_remove]
lists	search the item	[IN:lists_createoradd]
lists	open me a new list	[IN:lists_createoradd]
lists	delete the last line	[IN:lists_remove]
lists	list entry	[IN:lists_query]
lists	list me the remainder of things left on the list	[IN:lists_query]
lists	start a new shopping list	[IN:lists_createoradd]
lists	get rid of peas	[IN:lists_remove]
lists	add juice to my grocery list	[IN:lists_createoradd]
lists	update my list	[IN:lists_createoradd]
lists	delete list blank	[IN:lists_remove]
lists	let me hear my list	[IN:lists_query]
lists	what list did i make today	[IN:lists_query]
lists	where is my list	[IN:lists_query]
lists	remove night night playlist	[IN:lists_remove]
lists	create an item to be added to my list	[IN:lists_createoradd]
lists	what's on the list	[IN:lists_query]
lists	please delete the shopping list	[IN:lists_remove]
lists	please delete this list for me	[IN:lists_remove]
lists	add the song the new playlist	[IN:lists_createoradd]
lists	delete this list	[IN:lists_remove]
lists	away off from list	[IN:lists_remove]
lists	make a grocery list please	[IN:lists_createoradd]
lists	create a list of jewels to be bought	[IN:lists_createoradd]
lists	delete the shopping list	[IN:lists_remove]
lists	create appointment to list	[IN:lists_createoradd]
lists	please order me this months groceries	[IN:lists_createoradd]
lists	make me a new checklist	[IN:lists_createoradd]
lists	my new health check up new list	[IN:lists_createoradd]
lists	open lists remove list	[IN:lists_remove]
lists	put on the screen the lists i have available	[IN:lists_query]
lists	set list	[IN:lists_createoradd]
lists	is the new stephen king book on my list	[IN:lists_query]
lists	can you create new list for me	[IN:lists_createoradd]
lists	remove cereal from my shopping list	[IN:lists_remove]
lists	remove file from list	[IN:lists_remove]
lists	remove item from list	[IN:lists_remove]
lists	clear my activities list for today	[IN:lists_remove]
lists	remove the list please	[IN:lists_remove]
