domain	utterance	intents
alarm	what alarms are on right now	[IN:alarm_query]
alarm	checkout today third set alarm	[IN:alarm_query]
alarm	what time are my alarms set for	[IN:alarm_query]
alarm	make me a wake up alarm for eight forty five am	[IN:alarm_set]
alarm	today how many alarms do i have set	[IN:alarm_query]
alarm	what alarms did i set	[IN:alarm_query]
alarm	how many alarms are set	[IN:alarm_query]
alarm	confirm alarm for tomorrow morning	[IN:alarm_query]
alarm	wake me up at five thirty	[IN:alarm_set]
alarm	how many alarms do i have set	[IN:alarm_query]
alarm	set an alarm for five o'clock this evening labelled taxi	[IN:alarm_set]
alarm	set alarm for tomorrow at two pm	[IN:alarm_set]
alarm	is my work alarm set for tomorrow	[IN:alarm_query]
alarm	quality of sound check	[IN:alarm_set]
alarm	please set the alarm for next friday at six thirty am	[IN:alarm_set]
alarm	do i have alarms set for today	[IN:alarm_query]
alarm	set an alarm for thursday at seven pm	[IN:alarm_set]
alarm	confirm i have set an alarm for six am	[IN:alarm_query]
alarm	set my alarm please	[IN:alarm_set]
alarm	can you set an alarm for seven am	[IN:alarm_set]
alarm	report alarm settings	[IN:alarm_query]
alarm	set my alarm for five hundred and thirty	[IN:alarm_set]
alarm	i wanna get up at six am	[IN:alarm_set]
alarm	i want to see all set alarms	[IN:alarm_query]
alarm	remove six am alarm of whole week for future	[IN:alarm_remove]
alarm	remove my bedtime alarm	[IN:alarm_remove]
alarm	fix alarm	[IN:alarm_set]
alarm	do i have any alarms set for today	[IN:alarm_query]
alarm	just see for me the alarms that you have set today morning	[IN:alarm_query]
alarm	set alarm of whole week morning ten am in april month	[IN:alarm_set]
alarm	at what time have you set alarm for me	[IN:alarm_query]
alarm	repeat alarm	[IN:alarm_set]
alarm	please read out all the alarms that are set	[IN:alarm_query]
alarm	please list all my alarms	[IN:alarm_query]
alarm	i need to get up at seven am	[IN:alarm_set]
alarm	what is tomorrow's alarm time set to	[IN:alarm_query]
alarm	volume check	[IN:alarm_set]
alarm	make an alarm for me at five am tomorrow	[IN:alarm_set]
alarm	need an alarm set for sunday at five in the morning	[IN:alarm_set]
alarm	show me all scheduled alarms	[IN:alarm_query]
alarm	remind me about my alarms today	[IN:alarm_query]
alarm	what alarms do you have set	[IN:alarm_query]
alarm	i need an alarm for sunday at eight am can you please set one for me	[IN:alarm_set]
alarm	one pm removed	[IN:alarm_remove]
alarm	wake me up at seven am	[IN:alarm_set]
alarm	please read me my alarms	[IN:alarm_query]
alarm	alert me at five hours	[IN:alarm_set]
alarm	wake me up at nine am	[IN:alarm_set]
alarm	set an alarm	[IN:alarm_set]
alarm	please arrange to wake me up at three am alarm	[IN:alarm_set]
alarm	set an alarm for twelve	[IN:alarm_set]
alarm	please remove the alarm that is set for weekdays at nine	[IN:alarm_remove]
alarm	do i have any alarms	[IN:alarm_query]
alarm	place alarm at five o'clock morning	[IN:alarm_set]
alarm	phones	[IN:alarm_remove]
alarm	what time is alarm set for	[IN:alarm_query]
alarm	do i have alarms set	[IN:alarm_query]
alarm	remove all of my alarms	[IN:alarm_remove]
alarm	get rid of my eight am alarm	[IN:alarm_remove]
alarm	new alarm for six am	[IN:alarm_set]
alarm	wake up time	[IN:alarm_set]
alarm	turn off any morning alarms after Friday	[IN:alarm_remove]
alarm	tell me my alarms	[IN:alarm_query]
alarm	what time is my alarm set for	[IN:alarm_query]
alarm	disable alarm for three pm	[IN:alarm_remove]
alarm	can you tell me if i have any alarms set	[IN:alarm_query]
alarm	what home alarms have been set	[IN:alarm_query]
alarm	wake me at seven am	[IN:alarm_set]
alarm	show me the alarms i've set	[IN:alarm_query]
alarm	have i set any alarms in the morning	[IN:alarm_query]
alarm	how many alarms are currently set	[IN:alarm_query]
alarm	set an alarm for two pm	[IN:alarm_set]
alarm	what alarms will wake me up tomorrow	[IN:alarm_query]
alarm	are there any alarms set right now	[IN:alarm_query]
alarm	do i have any alarms set for tomorrow	[IN:alarm_query]
alarm	i need a reminder alarm at one	[IN:alarm_set]
alarm	set an alarm at six in the morning	[IN:alarm_set]
alarm	send me a wake up alert at seven am tomorrow morning	[IN:alarm_set]
alarm	set an eight hundred am alarm for next tuesday	[IN:alarm_set]
alarm	remove my four am alarm	[IN:alarm_remove]
alarm	set an alarm for eight am	[IN:alarm_set]
alarm	do i have an alarm set	[IN:alarm_query]
