domain	utterance	intents
qa	when is elvis birthday	[IN:qa_factoid]
qa	can you tell me the price of google stock	[IN:qa_stock]
qa	give me the opening stock price of apple	[IN:qa_stock]
qa	define god	[IN:qa_definition]
qa	tell me about it	[IN:qa_definition]
qa	tell me the current price of exxon mobil stock	[IN:qa_stock]
qa	what is the cost of iphone seven	[IN:qa_factoid]
qa	what is the boiling point of water	[IN:qa_factoid]
qa	what an umbrella means	[IN:qa_definition]
qa	how are stocks for google	[IN:qa_stock]
qa	what's trump been on about this week	[IN:qa_factoid]
qa	currency converter please	[IN:qa_currency]
qa	how far away is	[IN:qa_factoid]
qa	what is the sixteenth president	[IN:qa_factoid]
qa	Dolly parton biography	[IN:qa_factoid]
qa	i need to know the price of amazon stock	[IN:qa_stock]
qa	what is a president	[IN:qa_definition]
qa	give me the definition for the word pontificate	[IN:qa_definition]
qa	who is the current us treasury secretary	[IN:qa_factoid]
qa	solve math issue	[IN:qa_maths]
qa	does donald trump have any ties to russia	[IN:qa_factoid]
qa	how tall was abraham lincoln	[IN:qa_factoid]
qa	where are the rockies located	[IN:qa_factoid]
qa	birth date for movie star keanu reeves	[IN:qa_factoid]
qa	how did george rogers clark die	[IN:qa_factoid]
qa	what's the average elevation of the united states	[IN:qa_factoid]
qa	calculate distance from boston to new york	[IN:qa_factoid]
qa	tell me what movie was the winner of last year's academy award for best picture	[IN:qa_factoid]
qa	what is the birthday of hemingway	[IN:qa_factoid]
qa	can you take five and divide it by three	[IN:qa_maths]
qa	tell me the population of usa	[IN:qa_factoid]
qa	how old is jim carrey	[IN:qa_factoid]
qa	what is the least tornado prone state in the entire us	[IN:qa_factoid]
qa	could you please describe me about the item smart phone	[IN:qa_definition]
qa	where is george w bush from	[IN:qa_factoid]
qa	what year did robin williams pass away	[IN:qa_factoid]
qa	stock price of goog	[IN:qa_stock]
qa	rate u. s. d. to g. b. p.	[IN:qa_currency]
qa	foreign exchange rates	[IN:qa_currency]
qa	how old is jennifer anniston	[IN:qa_factoid]
qa	please define textual	[IN:qa_definition]
qa	how many euro in u. s. d.	[IN:qa_currency]
qa	Whats that object about	[IN:qa_definition]
qa	how old is mariah carey	[IN:qa_factoid]
qa	how much is a dollar in rupees	[IN:qa_currency]
qa	when was george clooney born	[IN:qa_factoid]
qa	what's the exchange rate between euros and us dollars	[IN:qa_currency]
qa	what is the highest mountain in asia	[IN:qa_factoid]
qa	how many american dollars are in a euro	[IN:qa_currency]
qa	is starbucks stock up or down from last quarter	[IN:qa_stock]
qa	how much is the average house	[IN:qa_factoid]
qa	please find out the share price of microsoft in nasdaq	[IN:qa_stock]
qa	what does penultimate mean	[IN:qa_definition]
qa	will it be good to buy nike stock today	[IN:qa_stock]
qa	what is the lera compared to the dollar	[IN:qa_currency]
qa	how are the top ten stocks at the moment	[IN:qa_stock]
qa	what is the name of the tallest man	[IN:qa_factoid]
qa	what is a circuit board	[IN:qa_definition]
qa	who is andrew llyod webber	[IN:qa_factoid]
qa	what is four plus five	[IN:qa_maths]
qa	can you tell me where is crimea	[IN:qa_factoid]
qa	is pink recording a new album	[IN:qa_factoid]
qa	with all of the information you can gather on the internet could you please provide me with the best probable explanation of who killed president kennedy	[IN:qa_factoid]
qa	can you define conservative politics	[IN:qa_definition]
qa	what does potato mean	[IN:qa_definition]
qa	give me the definition for animal	[IN:qa_definition]
qa	what is today's close of goog	[IN:qa_stock]
qa	how old is draymond green	[IN:qa_factoid]
qa	what's the latest on stock market	[IN:qa_stock]
qa	who is arnold schwarzenegger	[IN:qa_factoid]
qa	what's the exchange rate between australian dollars and american dollars	[IN:qa_currency]
qa	how much is ten u. s. d. to cad	[IN:qa_currency]
qa	what year what the eiffel tower built	[IN:qa_factoid]
qa	what is the exchange rate of euro and dollar	[IN:qa_currency]
qa	tell what the definition of the word massive	[IN:qa_definition]
qa	dollar rate of philippiness peso	[IN:qa_currency]
qa	what exactly is a resin tooth filling	[IN:qa_definition]
qa	where is italy	[IN:qa_factoid]
qa	find me the perfect girlfriend	[IN:qa_factoid]
qa	describe blanket	[IN:qa_definition]
qa	what is starbuck's stock worth	[IN:qa_stock]
qa	how many grams are there for a cup of butter	[IN:qa_factoid]
qa	i want some stock on nintendo	[IN:qa_stock]
qa	look up the word snafu	[IN:qa_definition]
qa	when is sunset	[IN:qa_factoid]
qa	how many miles across is the widest part of  the grand canyon	[IN:qa_factoid]
qa	what city does anthony keidis live in	[IN:qa_factoid]
qa	where is botswana	[IN:qa_factoid]
qa	today's closing price for google	[IN:qa_stock]
qa	give me everything you know about bob dean	[IN:qa_factoid]
qa	find me a description of morel mushrooms	[IN:qa_definition]
qa	what is the square root of ninety seven	[IN:qa_maths]
qa	what's the us dollar rate today	[IN:qa_currency]
qa	what is the composition of our nails	[IN:qa_factoid]
qa	which languages are the most popular in america right now	[IN:qa_factoid]
qa	pontificate definition	[IN:qa_definition]
qa	what is the exchange rate between the dollar and the yen	[IN:qa_currency]
qa	when did prince start singing	[IN:qa_factoid]
qa	is meryl streep an actress or singer	[IN:qa_factoid]
qa	what is the stock price of amazon	[IN:qa_stock]
qa	what is the circumference of the earth	[IN:qa_factoid]
qa	where is antartica	[IN:qa_factoid]
qa	what is the us dollar euro exchange rate	[IN:qa_currency]
qa	how were trebuchets built	[IN:qa_factoid]
qa	what are the dimensions for a buick lesber	[IN:qa_factoid]
qa	convert one kilo to pound	[IN:qa_maths]
qa	please define this	[IN:qa_definition]
qa	obama	[IN:qa_factoid]
qa	how much is fifty us dollars with in china	[IN:qa_currency]
qa	where is it hottest on earth	[IN:qa_factoid]
qa	what did apple stock close at yesterday	[IN:qa_stock]
qa	how far is parana river	[IN:qa_factoid]
qa	what is the exchange rate as of today	[IN:qa_currency]
qa	how did paris hilton become famous	[IN:qa_factoid]
qa	what is a mango	[IN:qa_definition]
qa	dollars to euro	[IN:qa_currency]
qa	give me the stock price of berkshire hathaway	[IN:qa_stock]
qa	i would like if will be smart and intelligent in way it will be familiar with me and recognise the way i like the result will be	[IN:qa_factoid]
qa	honda stock price	[IN:qa_stock]
qa	what causes in burmuda triangle	[IN:qa_factoid]
qa	how much is one inr to u. s. d.	[IN:qa_currency]
qa	does miley cyrus have any siblings	[IN:qa_factoid]
qa	why dicaprio is so handsome	[IN:qa_factoid]
qa	keanu reeves date of birth	[IN:qa_factoid]
qa	whats the scenery like in morocco	[IN:qa_factoid]
qa	where is the best vacation spot in california	[IN:qa_factoid]
qa	does obama have a twitter	[IN:qa_factoid]
qa	what is the total number of islands in the united states	[IN:qa_factoid]
qa	when is stassi schroedder's birthday	[IN:qa_factoid]
qa	how tall is brad pitt	[IN:qa_factoid]
qa	how far away is seattle	[IN:qa_factoid]
qa	give the stock price details of motorolla	[IN:qa_stock]
qa	can i have stock rate list of ola and uber	[IN:qa_stock]
qa	what's the rate between the u. s. d. and ukraine's currency	[IN:qa_currency]
qa	what is five minus one	[IN:qa_maths]
qa	which is the smallest island in the world	[IN:qa_factoid]
qa	what is the google stock at	[IN:qa_stock]
qa	is willie nelson still alive	[IN:qa_factoid]
qa	which was longest river in the world	[IN:qa_factoid]
qa	how much rate will be calculated	[IN:qa_stock]
qa	is adele going to go on tour	[IN:qa_factoid]
qa	search the region	[IN:qa_factoid]
qa	tell me about jaipur	[IN:qa_factoid]
qa	person x birthday	[IN:qa_factoid]
qa	what is the definition of problematic	[IN:qa_definition]
qa	hey what is the definition of survey	[IN:qa_definition]
qa	where is channing tatum from	[IN:qa_factoid]
qa	current price of coca cola stock	[IN:qa_stock]
qa	how is the current stock price looking for charmin	[IN:qa_stock]
