domain	utterance	intents
weather	Will it rain today?	[IN:GET_WEATHER]
weather	What will it be like outside tomorrow?	[IN:GET_WEATHER]
weather	Will be the weather be fine at 4.00pm	[IN:GET_WEATHER]
weather	Will it be below 79 in degree celcius in Chicago tonight	[IN:GET_WEATHER]
weather	are there any flash flood warnings	[IN:GET_WEATHER]
weather	will it snow on mt lemmon tomorrow	[IN:GET_WEATHER]
weather	Hows the weather in Tokyo?	[IN:GET_WEATHER]
weather	When will the tornado warning end?	[IN:GET_WEATHER]
weather	What will be the forecast for late night?	[IN:GET_WEATHER]
weather	What is the weather like this weekend?	[IN:GET_WEATHER]
weather	Is it going to be windy tomorrow?	[IN:GET_WEATHER]
weather	Will is rain the next couple days?	[IN:GET_WEATHER]
weather	How much rain is expected today	[IN:GET_WEATHER]
weather	when will it snow in Canada	[IN:UNSUPPORTED_WEATHER]
weather	Temperature tomorrow morning out there F	[IN:GET_WEATHER]
weather	Tell me how the weather is in Barcelona	[IN:GET_WEATHER]
weather	Tell me about the weather through to the 25th	[IN:GET_WEATHER]
weather	Tell me the weather for today.	[IN:GET_WEATHER]
weather	Did we break a rainfall record in Las Vegas	[IN:GET_WEATHER]
weather	When will the temperature get cooler this week?	[IN:GET_WEATHER]
weather	do I need my umbrella today	[IN:GET_WEATHER]
weather	What is the hottest it's ever gotten in New Orleans	[IN:UNSUPPORTED_WEATHER]
weather	Let me know the weather for New Zealand.	[IN:GET_WEATHER]
weather	How cold is it in Paris in F	[IN:GET_WEATHER]
weather	Give me New Zealand's weather outlook	[IN:GET_WEATHER]
weather	is it supposed to be windy today	[IN:GET_WEATHER]
weather	how much snow do we expect overnight	[IN:GET_WEATHER]
weather	Is it supposed to snow?	[IN:GET_WEATHER]
weather	what's up with the weather	[IN:GET_WEATHER]
weather	Temperature tonight in Manila C	[IN:GET_WEATHER]
weather	whats the weather going to be like next saturday	[IN:GET_WEATHER]
weather	Is it going to snow?	[IN:GET_WEATHER]
weather	Tell me the weather forecast for May 16th.	[IN:GET_WEATHER]
weather	what is the temperature in taiwan during this time of year?	[IN:GET_WEATHER]
weather	Tell me about the weather in Mississauga Ontario	[IN:GET_WEATHER]
weather	Are there any Tornado warnings	[IN:GET_WEATHER]
weather	What is the humidity right now	[IN:GET_WEATHER]
weather	Is it going to be cloudy?	[IN:GET_WEATHER]
weather	How much does it rain in Vietnam?	[IN:GET_WEATHER]
weather	Can I wear shorts and a tshirt	[IN:GET_WEATHER]
weather	What will the maximum temperature get to	[IN:GET_WEATHER]
weather	is UV index high today	[IN:GET_WEATHER]
weather	will it be hot tonight?	[IN:GET_WEATHER]
weather	will I need an umbrella today?	[IN:GET_WEATHER]
weather	Will it be around 84 in degree Celsius for Dehli today	[IN:GET_WEATHER]
weather	Will Minneapolis see snow this week?	[IN:GET_WEATHER]
weather	what is the weather going to be like for Easter Sunday	[IN:GET_WEATHER]
weather	what is the weather in NY right now	[IN:GET_WEATHER]
weather	Is Sydney, Australia hot?	[IN:GET_WEATHER]
weather	Is ok to wear coat outside ?	[IN:GET_WEATHER]
weather	What is a tornado watch	[IN:UNSUPPORTED_WEATHER]
weather	What is the weather for tomorrow	[IN:GET_WEATHER]
weather	Is there a heat advisory	[IN:GET_WEATHER]
weather	What is the average snow fall this time of year	[IN:UNSUPPORTED_WEATHER]
weather	How humid is it?	[IN:GET_WEATHER]
weather	Is weather effecting traffic	[IN:GET_WEATHER]
weather	Will it get chilly tonight?	[IN:GET_WEATHER]
weather	Will it be sunny tomorrow?	[IN:GET_WEATHER]
weather	Will I need a jacket today?	[IN:GET_WEATHER]
weather	Update on Tropical storm Gert	[IN:GET_WEATHER]
weather	What is expected to be the low temperature tonight?	[IN:GET_WEATHER]
weather	how long will these high winds continue	[IN:GET_WEATHER]
weather	What's the hourly forecast for tomorrow	[IN:GET_WEATHER]
weather	Should I wear my woolly bobble hat tonight?	[IN:GET_WEATHER]
weather	Will the weather change any today?	[IN:GET_WEATHER]
weather	I want to know weather information on next Sunday.	[IN:GET_WEATHER]
weather	what is the weather like in bayonne today?	[IN:GET_WEATHER]
weather	Weather for Ontario on Tuesday.	[IN:GET_WEATHER]
weather	do i need my umbrella tonight	[IN:GET_WEATHER]
weather	When will the rain stop?	[IN:GET_WEATHER]
weather	Is it going to be humid today	[IN:GET_WEATHER]
weather	What's the expected high in Dayton tomorrow	[IN:GET_WEATHER]
weather	what is the weather going to be like in Tampa tomorrow	[IN:GET_WEATHER]
weather	Tell me about the weather tonight at 6?	[IN:GET_WEATHER]
weather	is it windy today?	[IN:GET_WEATHER]
weather	will there be snow today?	[IN:GET_WEATHER]
weather	Is it sunny in California?	[IN:GET_WEATHER]
weather	What is the weather going to be at 2p.m ?	[IN:GET_WEATHER]
weather	Display temperature forecast for 5pm	[IN:GET_WEATHER]
weather	Please give the 7 day forecast for next week starting from Sunday	[IN:GET_WEATHER]
weather	What is the chance of rain Friday here	[IN:GET_WEATHER]
weather	Tell me the weather for Doncaster at 7pm.	[IN:GET_WEATHER]
weather	How long will the storm last?	[IN:UNSUPPORTED_WEATHER]
weather	What is the weather going to be like later today	[IN:GET_WEATHER]
weather	Is it going to rain tomorrow?	[IN:GET_WEATHER]
weather	Have there been any hurricanes this season	[IN:UNSUPPORTED_WEATHER]
weather	is it supposed to rain in new york today	[IN:GET_WEATHER]
weather	How is the weather in Sydney?	[IN:GET_WEATHER]
weather	Is it going to be windy this afternoon?	[IN:GET_WEATHER]
weather	Will it rain in Sydney today?	[IN:GET_WEATHER]
weather	what will the weather be at 6 pm tomorrow	[IN:GET_WEATHER]
weather	Australia's weather please.	[IN:GET_WEATHER]
weather	Can I wear flip-flops today?	[IN:GET_WEATHER]
weather	What is the humidity like this weekend?	[IN:GET_WEATHER]
weather	Tell me the current temperature in Fahrenheit.	[IN:GET_WEATHER]
weather	What's this weekend's weather going to be like?	[IN:GET_WEATHER]
weather	todays forecast	[IN:GET_WEATHER]
weather	AROUND WHAT TIME WILL IT START RAINING?	[IN:GET_WEATHER]
weather	Are we having a cold christmas this year	[IN:UNSUPPORTED_WEATHER]
weather	What’s the  weather?	[IN:GET_WEATHER]
weather	what will the weather be like today?	[IN:GET_WEATHER]
weather	how long will it be before the rain moves to Nashville	[IN:GET_WEATHER]
weather	whats the weather going to be at 3pm	[IN:GET_WEATHER]
weather	Weather for Saturday night?	[IN:GET_WEATHER]
weather	Sydney, August 16th what is the coldest temperature?	[IN:GET_WEATHER]
weather	What's the forecast in France	[IN:GET_WEATHER]
weather	How cold is it this weekend madrid in celsius	[IN:GET_WEATHER]
weather	Whats the weather like?	[IN:GET_WEATHER]
weather	whats the forecast today	[IN:GET_WEATHER]
weather	Weather in Kuwait please.	[IN:GET_WEATHER]
weather	should I bring an umbrella?	[IN:GET_WEATHER]
weather	What is the weather forecast for today?	[IN:GET_WEATHER]
weather	When will the rain stop?	[IN:GET_WEATHER]
weather	Is it jacket weather	[IN:GET_WEATHER]
weather	What's the weather in Celsius?	[IN:GET_WEATHER]
weather	Will it be below freezing tomorrow?	[IN:GET_WEATHER]
weather	Should I bring a jacket?	[IN:GET_WEATHER]
weather	do i need a jacket	[IN:GET_WEATHER]
weather	Is it muggy outside?	[IN:GET_WEATHER]
weather	Is it going to snow at all in the next week?	[IN:GET_WEATHER]
weather	Is it below 41 in degrees f for Tokyo	[IN:GET_WEATHER]
weather	what is the temperature at Disneyland right now	[IN:GET_WEATHER]
weather	is it going to flood near me	[IN:GET_WEATHER]
weather	Do I to wear sun glasses or Jacket?	[IN:GET_WEATHER]
weather	Will it rain tomorrow?	[IN:GET_WEATHER]
weather	how hot is it today	[IN:GET_WEATHER]
weather	What time will it rain	[IN:GET_WEATHER]
weather	What time will it get cool today?	[IN:GET_WEATHER]
weather	What is the weather going to be like this weekend	[IN:GET_WEATHER]
weather	what is the weather forecast for Pittsburgh	[IN:GET_WEATHER]
weather	I'd like the forecast for this evening	[IN:GET_WEATHER]
weather	whats the 3 day outlook	[IN:GET_WEATHER]
weather	How is the air quality today	[IN:UNSUPPORTED_WEATHER]
weather	What is the temperature for Friday?	[IN:GET_WEATHER]
weather	Is it going to be below 27 in f near Boston	[IN:GET_WEATHER]
weather	How cold will it be at dawn tomorrow?	[IN:GET_WEATHER]
weather	Any hurricanes forming in the gulf?	[IN:GET_WEATHER]
weather	What is the temperature at noon?	[IN:GET_WEATHER]
weather	Is it going to rain today?	[IN:GET_WEATHER]
weather	How many nights this week will we drop below freezing	[IN:GET_WEATHER]
weather	Tell me about the weather in Seattle Washington	[IN:GET_WEATHER]
weather	should i wear my rain boots	[IN:GET_WEATHER]
weather	Will it be rainy today?	[IN:GET_WEATHER]
weather	What is the 10-day forecast for Hopkins?	[IN:GET_WEATHER]
weather	how hot did it get today?	[IN:GET_WEATHER]
weather	Are we under a wind advisory?	[IN:GET_WEATHER]
weather	How is the weather in Tokyo tonight?	[IN:GET_WEATHER]
weather	will it sleet today?	[IN:GET_WEATHER]
weather	how much snow is New York supposed to get	[IN:GET_WEATHER]
weather	When is the next chance of rain?	[IN:GET_WEATHER]
weather	Temperature around New York today F	[IN:GET_WEATHER]
weather	how hot is it going to be today	[IN:GET_WEATHER]
weather	temperature now	[IN:GET_WEATHER]
