domain	utterance	intents
weather	Is there rain in the forecast this week	[IN:GET_WEATHER]
weather	what's the weather going to be doing at the weekend?	[IN:GET_WEATHER]
weather	Will there be thunder today	[IN:GET_WEATHER]
weather	Is it beach weather this weekend?	[IN:GET_WEATHER]
weather	Is it raining in Dorchester?	[IN:GET_WEATHER]
weather	Should I wear a coat tonight?	[IN:GET_WEATHER]
weather	How hot will it be this afternoon	[IN:GET_WEATHER]
weather	What's the weather supposed to be like next week?	[IN:GET_WEATHER]
weather	Will the UV index require the application of sunscreen today?	[IN:UNSUPPORTED_WEATHER]
weather	What's the weather forecast for this weekend	[IN:GET_WEATHER]
weather	is there hail with this storm	[IN:GET_WEATHER]
weather	Is there a tornado warning	[IN:GET_WEATHER]
weather	Is it going to snow today?	[IN:GET_WEATHER]
weather	What is the temperature in Denver?	[IN:GET_WEATHER]
weather	is it going to snow in ohio this weekend	[IN:GET_WEATHER]
weather	Weather at 3pm in Mexico City	[IN:GET_WEATHER]
weather	What is the weather in Baltimore today	[IN:GET_WEATHER]
weather	will it rain in harlingen today	[IN:GET_WEATHER]
weather	Tell me the weather conditions for New Zealand	[IN:GET_WEATHER]
weather	Is it going to frost tonight	[IN:GET_WEATHER]
weather	Are we getting a snowstorm this week?	[IN:GET_WEATHER]
weather	What sort of weather will be happening in Thailand during July?	[IN:GET_WEATHER]
weather	How hot will it be in Los Angeles, CA today?	[IN:GET_WEATHER]
weather	I'd like to know the weather for the 7th of July.	[IN:GET_WEATHER]
weather	What was the temperature this day last year	[IN:UNSUPPORTED_WEATHER]
weather	How hot is it in south Africa today?	[IN:GET_WEATHER]
weather	What's the weather this weekend?	[IN:GET_WEATHER]
weather	forecast for 6 am	[IN:GET_WEATHER]
weather	Is it going to be below 1 degrees c out there today	[IN:GET_WEATHER]
weather	why are storm clouds black	[IN:UNSUPPORTED_WEATHER]
weather	Show me the weather in 13 November at 7am	[IN:GET_WEATHER]
weather	Should I wear a jacket tonight	[IN:GET_WEATHER]
weather	how hot is it going to be this weekend?	[IN:GET_WEATHER]
weather	when will we have snow	[IN:GET_WEATHER]
weather	What's happening with the weather today?	[IN:GET_WEATHER]
weather	What will the weather be like in Cancun Mexico today?	[IN:GET_WEATHER]
weather	What time of day will the weather be the coolest?	[IN:GET_WEATHER]
weather	What is the humidity percentage for today	[IN:GET_WEATHER]
weather	what is the weather like	[IN:GET_WEATHER]
weather	Is it going to snow tomorrow morning?	[IN:GET_WEATHER]
weather	When is the last time it snowed in Texas	[IN:UNSUPPORTED_WEATHER]
weather	What was the wind speed of the tornado in Kansas	[IN:GET_WEATHER]
weather	What is the low temp supposed to be tonight?	[IN:GET_WEATHER]
weather	how much rain did we get yesterday	[IN:GET_WEATHER]
weather	What's the weather in Tampa next weekend?	[IN:GET_WEATHER]
weather	what is the weather today?	[IN:GET_WEATHER]
weather	Does the weather forecast show it's going to be cold today?	[IN:GET_WEATHER]
weather	How hot is it going to be today?	[IN:GET_WEATHER]
weather	What's the weather like tomorrow?	[IN:GET_WEATHER]
weather	what will be the temperature tomorrow at 6 am	[IN:GET_WEATHER]
weather	How hot is it next week dublin in degrees C	[IN:GET_WEATHER]
weather	Is there really a chance for snow?	[IN:GET_WEATHER]
weather	Is it going to rain?	[IN:GET_WEATHER]
weather	Temperature next week out there Celcius	[IN:GET_WEATHER]
weather	Are we still under drought conditions?	[IN:GET_WEATHER]
weather	do I need a jacket	[IN:GET_WEATHER]
weather	How's the weather going to be at 11am?	[IN:GET_WEATHER]
weather	how hot can it be today	[IN:GET_WEATHER]
weather	Will it rain today at 4:30pm?	[IN:GET_WEATHER]
weather	Is it warm in Paris right now?	[IN:GET_WEATHER]
weather	What time is the sun supposed to rise today	[IN:GET_SUNRISE]
weather	What is the weather going to be like this week at Miami beach?	[IN:GET_WEATHER]
weather	Is there any chance of a blizzard in Chicago tomorrow?	[IN:GET_WEATHER]
weather	when will it rain today	[IN:GET_WEATHER]
weather	Do I need an umbrella?	[IN:GET_WEATHER]
weather	Will it be above 58 in Celcius for San Francisco tonight	[IN:GET_WEATHER]
weather	Will we have more than a inch of rain today?	[IN:GET_WEATHER]
weather	what is the high for monday next week?	[IN:GET_WEATHER]
weather	is it storming?	[IN:GET_WEATHER]
weather	Is it below 26 in degree C menlo park tomorrow morning	[IN:GET_WEATHER]
weather	Do I need my rain jacket this morning?	[IN:GET_WEATHER]
weather	what time does the sun set in Cape Cod	[IN:GET_SUNSET]
weather	Is it going to be above 4 degree C inside this weekend	[IN:GET_WEATHER]
weather	What are the conditions like for skiing at Sugar Mountain resort	[IN:UNSUPPORTED_WEATHER]
weather	Is North and South Vietnam the same temperature today?	[IN:GET_WEATHER]
weather	How will the weather be in Rotherham today?	[IN:GET_WEATHER]
weather	will the weather permit to travel to Texas next weekend	[IN:GET_WEATHER]
weather	will it be hot in birmingham this weekend	[IN:GET_WEATHER]
weather	Is it hotter today in Los Angeles or San Diego?	[IN:UNSUPPORTED_WEATHER]
weather	How is the weather in Banat	[IN:GET_WEATHER]
weather	whats the outside temperature right now in colorado springs	[IN:GET_WEATHER]
weather	How warm is it now in Fahrenheit?	[IN:GET_WEATHER]
weather	Tell me the weather for Miami	[IN:GET_WEATHER]
weather	Temperature near Dublin this weekend Fahrenheit	[IN:GET_WEATHER]
weather	Tell me the weather forecast for North East Scotland.	[IN:GET_WEATHER]
weather	What is the forecast for Tampa?	[IN:GET_WEATHER]
weather	How warm is in Spain tonight?	[IN:GET_WEATHER]
weather	How is the weather in Croatia	[IN:GET_WEATHER]
weather	How hot is it paris tomorrow morning in degrees F	[IN:GET_WEATHER]
weather	Broadcast the weather details in Canada	[IN:GET_WEATHER]
weather	when will the hurricane hit Texas	[IN:GET_WEATHER]
weather	What's the weather like in Thailand?	[IN:GET_WEATHER]
weather	Temperature around Tokyo tomorrow morning Celsius	[IN:GET_WEATHER]
weather	What time is the sunset today?	[IN:GET_SUNSET]
weather	Have there been any earthquakes in California recently	[IN:GET_WEATHER]
weather	Tell me the weather forecast for Spain	[IN:GET_WEATHER]
weather	How warm is it boston today in degree f	[IN:GET_WEATHER]
