domain	utterance	intents
cooking	instruct me to cook	[IN:cooking_recipe]
cooking	how do you zest a lime without a zester	[IN:cooking_recipe]
cooking	give me best cooking ideas	[IN:cooking_recipe]
cooking	show me how to cook low calorie breakfast	[IN:cooking_recipe]
cooking	how do i make pizza	[IN:cooking_recipe]
cooking	what is the best recipe for tacos	[IN:cooking_recipe]
cooking	setting up a food processing business in our home has advantages and disadvantages	[IN:cooking_recipe]
cooking	how do i cook fish and chips	[IN:cooking_recipe]
cooking	how much sugar goes in sweet tea	[IN:cooking_recipe]
cooking	what are the best recipes for pesto	[IN:cooking_recipe]
cooking	use google to show me how to cook	[IN:cooking_recipe]
cooking	can i use brown sugar instead of white in peanut butter cookies	[IN:cooking_query]
cooking	how can i cook meal	[IN:cooking_recipe]
cooking	get recipe for apple pie	[IN:cooking_recipe]
cooking	get me a recipe	[IN:cooking_recipe]
cooking	how long should i boil the eggs	[IN:cooking_recipe]
cooking	how many teaspoons are in a cup	[IN:cooking_recipe]
cooking	learn to cut potatoes correctly	[IN:cooking_recipe]
cooking	what conducts heat better copper bottomed pots or cast iron	[IN:cooking_recipe]
cooking	how do i make tuna casserole from scratch	[IN:cooking_recipe]
cooking	whats a substitute for butter that is non dairy	[IN:cooking_recipe]
cooking	what is the best recipe for a margarita	[IN:cooking_recipe]
cooking	what ingredients do i need for tomato soup	[IN:cooking_recipe]
cooking	how many cups are in a gallon	[IN:cooking_recipe]
cooking	what is the best tasting cut of beef	[IN:cooking_recipe]
cooking	evaporated	[IN:cooking_recipe]
cooking	could you please display the videos for cooking italian food	[IN:cooking_recipe]
cooking	quick meals	[IN:cooking_recipe]
cooking	how to cook that meal	[IN:cooking_recipe]
cooking	it should spices	[IN:cooking_recipe]
cooking	what are the ingredients in macaroni and cheese	[IN:cooking_recipe]
cooking	i need a puttanesca recipe that pre dates one thousand nine hundred and seventy	[IN:cooking_recipe]
cooking	get me a recipe for cookies	[IN:cooking_recipe]
cooking	how to cook lasagna	[IN:cooking_recipe]
cooking	what temperature should the oil be for frying french fries	[IN:cooking_recipe]
cooking	how long should you cook a whole chicken in a three hundred and seventy five degree oven	[IN:cooking_recipe]
cooking	please give me the best garlic bread recipe	[IN:cooking_recipe]
cooking	what do i need to make pot roast	[IN:cooking_recipe]
cooking	tell me the recipe to make cake	[IN:cooking_recipe]
cooking	recipe for meal	[IN:cooking_recipe]
cooking	how many vegetables should i eat a day	[IN:cooking_recipe]
cooking	i want to cook that meal	[IN:cooking_recipe]
cooking	tell me the recipe to cook pav bhaji	[IN:cooking_recipe]
cooking	list of famous biryani recipes	[IN:cooking_recipe]
cooking	how to create buttermilk from milk	[IN:cooking_recipe]
cooking	what is the temperature to cook chicken in the oven	[IN:cooking_recipe]
cooking	how is pav bhaji cooked	[IN:cooking_recipe]
cooking	what goes with risotto	[IN:cooking_recipe]
cooking	what is a cookie recipe	[IN:cooking_recipe]
cooking	how to cook spaghetti	[IN:cooking_recipe]
cooking	what are the steps for biriyani meal	[IN:cooking_recipe]
cooking	how to make taco	[IN:cooking_recipe]
cooking	explain in brief about fish fry	[IN:cooking_recipe]
cooking	i need a recipe for spaghetti	[IN:cooking_recipe]
cooking	how do you make vegetarian lasagna	[IN:cooking_recipe]
cooking	how long should i cook chicken for	[IN:cooking_recipe]
cooking	your recipe of steak was superb	[IN:cooking_recipe]
cooking	please tell me how to i bake twelve oatmeal cookies	[IN:cooking_recipe]
cooking	how many cups of water do i need to boil an egg	[IN:cooking_recipe]
cooking	crockpot recipe for chicken alfredo	[IN:cooking_recipe]
cooking	tell me the recipe of	[IN:cooking_recipe]
cooking	give me the recipe for this food	[IN:cooking_recipe]
cooking	select recipe	[IN:cooking_recipe]
cooking	what spice do i use in indian rice	[IN:cooking_recipe]
cooking	find recipe chicken casserole	[IN:cooking_recipe]
cooking	what temperature should a baked chicken be	[IN:cooking_recipe]
cooking	what is a substitute for margarine	[IN:cooking_recipe]
cooking	on the other hand there may be added costs involved in getting your kitchen up to pennsylvania department of agriculture <unk> sanitary standards and working at home will definitely impact your family just ask any successful entrepreneur	[IN:cooking_recipe]
cooking	what is the best chili there is	[IN:cooking_recipe]
cooking	show me what the ingredients are	[IN:cooking_recipe]
cooking	how long do i need to boil an egg	[IN:cooking_recipe]
cooking	what is the difference between bake and broil	[IN:cooking_recipe]
cooking	how do you make spaghetti	[IN:cooking_recipe]
cooking	how do you cook black eye pea	[IN:cooking_recipe]
cooking	how many millilitres is two table spoons	[IN:cooking_recipe]
cooking	i need the recipe for hot cross buns	[IN:cooking_recipe]
cooking	how to make fried rice	[IN:cooking_recipe]
cooking	please search for cooking tips	[IN:cooking_recipe]
cooking	how do i make cookies	[IN:cooking_recipe]
cooking	how can i cook pasta	[IN:cooking_recipe]
cooking	cooking recipe	[IN:cooking_recipe]
cooking	can you substitute baking soda for baking powder	[IN:cooking_recipe]
cooking	what ingredients are needed for making biriyani	[IN:cooking_recipe]
cooking	what ingredient can be used instead of saffron	[IN:cooking_recipe]
cooking	recipe please	[IN:cooking_recipe]
cooking	find a recipe for a romantic dinner for two	[IN:cooking_recipe]
cooking	how do i prepare all my food for cooking	[IN:cooking_recipe]
cooking	find the most popular recipe for tacos	[IN:cooking_recipe]
cooking	how do you use an oven	[IN:cooking_recipe]
cooking	what to cook for lunch	[IN:cooking_query]
cooking	show me pancakes	[IN:cooking_recipe]
cooking	show me the recipe for cookies	[IN:cooking_recipe]
cooking	how do i cook chicken alfredo	[IN:cooking_recipe]
cooking	can you give me instructions on how to cook this food	[IN:cooking_recipe]
cooking	what can i cook with broccoli and chicken	[IN:cooking_recipe]
cooking	this fact sheet provides considerations for how to set up your food processing business	[IN:cooking_recipe]
cooking	how do i cook a pasta	[IN:cooking_recipe]
cooking	get me the recipe for rice	[IN:cooking_recipe]
cooking	i want to see the recipe of veg biryani	[IN:cooking_recipe]
cooking	show the method to prepare icecream	[IN:cooking_recipe]
cooking	how long do i cook maccoroni	[IN:cooking_recipe]
cooking	find a recipe for german chocolate cake	[IN:cooking_recipe]
cooking	how do you roast lamb	[IN:cooking_recipe]
cooking	find the right amount of cinnamon for the garam masala	[IN:cooking_recipe]
cooking	how to cook a pizza	[IN:cooking_recipe]
cooking	how many ounces are in a cup	[IN:cooking_recipe]
cooking	how many calories are in a one divided by of peanuts	[IN:cooking_recipe]
cooking	give me the recipe of steak	[IN:cooking_recipe]
cooking	start the gas stove adjust the flame to cooking the dish and put all cooking ingredient to pressure cooker to cook the ingredients keep it on the stove wait for the ingredients to be cooked	[IN:cooking_recipe]
cooking	explain how to sear a steak	[IN:cooking_recipe]
cooking	how is rice prepared	[IN:cooking_recipe]
cooking	how to make cheesecake	[IN:cooking_recipe]
cooking	what's an easy recipe to cook for food	[IN:cooking_recipe]
cooking	i want to know how to make a chicken in the oven	[IN:cooking_recipe]
cooking	google the steps for preparing the dish	[IN:cooking_recipe]
cooking	recipes	[IN:cooking_recipe]
cooking	what do i need to make french toast	[IN:cooking_recipe]
cooking	aroma	[IN:cooking_recipe]
cooking	please find the recipe for meatballs	[IN:cooking_recipe]
cooking	do you know how to cook risotto	[IN:cooking_recipe]
cooking	locate a recipe for thai fried rice	[IN:cooking_recipe]
cooking	look for apple pie recipe	[IN:cooking_recipe]
cooking	how do you make pasta	[IN:cooking_recipe]
cooking	what's the best way to cook pasta	[IN:cooking_recipe]
cooking	at what temperature should i bake cookies	[IN:cooking_recipe]
