domain	utterance	intents
transport	book the the next train ticket to chennai	[IN:transport_ticket]
transport	show me route to my phone location on yesterday twelve pm	[IN:transport_query]
transport	qwetqwtewqtw	[IN:transport_traffic]
transport	could you please book me a taxi going to location	[IN:transport_taxi]
transport	when is the train arriving today	[IN:transport_query]
transport	when is the last departing train from boston massachusetts	[IN:transport_query]
transport	get me a train ticket to go to	[IN:transport_ticket]
transport	get city cab here to airport	[IN:transport_taxi]
transport	please book the next taxi	[IN:transport_taxi]
transport	what is current traffic in ohio	[IN:transport_traffic]
transport	find the nearest uber	[IN:transport_taxi]
transport	is the traffic free in some particular road	[IN:transport_traffic]
transport	get me the local train timing to destination cstm	[IN:transport_query]
transport	train times location	[IN:transport_query]
transport	what does i seventy five look like	[IN:transport_traffic]
transport	give me the idea of current traffic condition	[IN:transport_traffic]
transport	can you show me the directions to go museum of flight in seattle	[IN:transport_query]
transport	can you give me directions from mcdonalds manhattan to my home	[IN:transport_query]
transport	what time are the trains going to chennai leaving	[IN:transport_query]
transport	buy me a ticket to take the train to atlanta	[IN:transport_ticket]
transport	book a taxi to pick up shelley hennessey at gate four of the airport for the arrival of aa flight five thousand four hundred and thirty one at three hundred and twenty one on friday	[IN:transport_taxi]
transport	are there any traffic delays	[IN:transport_traffic]
transport	what is the traffic like today	[IN:transport_traffic]
transport	calculate the travel time if i go to orlando by train	[IN:transport_query]
transport	give me directions to the target on I forty	[IN:transport_query]
transport	taxi uber	[IN:transport_taxi]
transport	train times at gary station going toward fort wayne today	[IN:transport_query]
transport	show traffic	[IN:transport_traffic]
transport	how is the traffic in broadway street	[IN:transport_traffic]
transport	book a business class seat on the next train to new york city	[IN:transport_ticket]
transport	is there any train ticket available	[IN:transport_query]
transport	where is the nearest train to me	[IN:transport_query]
transport	book me a train ticket for tomorrow	[IN:transport_ticket]
transport	i need a train ticket	[IN:transport_ticket]
transport	when is the next train to new york	[IN:transport_query]
transport	map out a route from here to abita brew pub	[IN:transport_query]
transport	what time can i catch the train to dc and arrive by nine am	[IN:transport_query]
transport	buy a train ticket to	[IN:transport_ticket]
transport	buy a train ticket to cleveland for april fourteenth	[IN:transport_ticket]
transport	how long will it take me to go to the train station from here	[IN:transport_query]
transport	are there any traffic issues	[IN:transport_traffic]
transport	what time is the train passing by	[IN:transport_query]
transport	open uber and book a car for twelve o'clock	[IN:transport_taxi]
transport	book me a train for the next available train	[IN:transport_ticket]
transport	can you find me a train ticket to southampton on memorial day weekend	[IN:transport_query]
transport	book a train ticket to new york	[IN:transport_ticket]
transport	i want a train ticket to oregon	[IN:transport_ticket]
transport	please reserve the next taxi a nine am	[IN:transport_taxi]
transport	i need directions to lowes in mount h nj	[IN:transport_query]
transport	book me an uber please	[IN:transport_taxi]
transport	order a train ticket to los angeles	[IN:transport_ticket]
transport	go to www dot metronorth dot com for train tickets	[IN:transport_ticket]
transport	what is traffic like	[IN:transport_traffic]
transport	how to get to cracow before noon by train	[IN:transport_query]
transport	siri find train tickets to nc	[IN:transport_query]
transport	buy a train ticket	[IN:transport_ticket]
transport	how long does it take the train to get from here and the met	[IN:transport_query]
transport	what is the route to the closest mcdonalds	[IN:transport_query]
transport	find a train going from prague to brno	[IN:transport_query]
transport	book a train ticket to arrive in cambridge by eight thirty pm today	[IN:transport_ticket]
transport	find me a train ticket to newcastle	[IN:transport_ticket]
transport	can you tell me about the traffic	[IN:transport_traffic]
transport	ticket for new york	[IN:transport_ticket]
transport	what is the schedule time of punjab mail to reach gwalior	[IN:transport_query]
transport	tell me my options for a train to los angles next wednesday or thursday	[IN:transport_query]
transport	display trains going to antwerp after two pm saturday	[IN:transport_query]
transport	what time is the train to san francisco due	[IN:transport_query]
transport	how long should the drive to work take	[IN:transport_traffic]
transport	what time does the last train leave from paris	[IN:transport_query]
transport	get me a ticket to boston	[IN:transport_ticket]
transport	what are the train times	[IN:transport_query]
transport	how is traffic from work to home	[IN:transport_traffic]
transport	tell me the train ticket price of california to chicago	[IN:transport_query]
transport	what is the average speed on main highway	[IN:transport_traffic]
transport	book a train for twenty two march at twelve pm	[IN:transport_ticket]
transport	when is my train coming	[IN:transport_query]
transport	what are the prices of train tickets to san diego	[IN:transport_query]
transport	call the phone number	[IN:transport_taxi]
transport	whats the travel time from here to dallas by train	[IN:transport_query]
transport	what is the traffic situation right in broadway street	[IN:transport_traffic]
transport	nearest way to return home	[IN:transport_query]
transport	i need a taxi for tomorrow at seven pm to the arena	[IN:transport_taxi]
transport	check the traffic to our home	[IN:transport_traffic]
transport	jam	[IN:transport_traffic]
transport	book a train tickets for me	[IN:transport_ticket]
transport	can you call an uber for me	[IN:transport_taxi]
transport	i want a train ticket from los angeles to phoenix	[IN:transport_ticket]
transport	can you book an uber tomorrow	[IN:transport_taxi]
transport	what is the quickest way to grand central	[IN:transport_query]
transport	pay for train ticket	[IN:transport_ticket]
transport	show me map of this location	[IN:transport_query]
transport	could you please have uber be at my house in fifteen minutes	[IN:transport_taxi]
transport	give me the list of available train tickets from edinburgh to leeds	[IN:transport_query]
transport	how far is it from tokyo to dallas	[IN:transport_query]
transport	am i gonna hit traffic	[IN:transport_traffic]
transport	book me a train ticket at earliest time tomorrow	[IN:transport_ticket]
transport	what are the train times for today	[IN:transport_query]
transport	book a cab in the evening for me	[IN:transport_taxi]
transport	what is the traffic today	[IN:transport_traffic]
transport	call yellow cab	[IN:transport_taxi]
transport	is there any traffic to work	[IN:transport_traffic]
transport	train leaving	[IN:transport_query]
transport	i need a gold class ticket on train number five using my credit card	[IN:transport_ticket]
transport	i need to get a ticket via train to orlando from hwood	[IN:transport_ticket]
transport	can i pass the bypass road at current traffic	[IN:transport_traffic]
transport	tell me current situation of traffic near central park road	[IN:transport_traffic]
transport	book me a train ticket to new york city on the third i don't care what time	[IN:transport_ticket]
transport	direct me towards nearest railway station	[IN:transport_query]
transport	please call a taxi to arrive at four hundred and take me to the manor theater	[IN:transport_taxi]
transport	i would like to know the train timings to bournemouth tomorrow	[IN:transport_query]
