domain	utterance	intents
event	Can you tell me what is happening at Liberty Science Center	[IN:GET_EVENT, IN:GET_LOCATION]
event	Music events in Minneapolis this weekend	[IN:GET_EVENT]
event	whats happening in san francisco tonight	[IN:GET_EVENT]
event	What shows are playing at the House of Blues we his week	[IN:GET_EVENT, IN:GET_LOCATION]
event	where is todays meeting in tacoma	[IN:GET_EVENT]
event	star wars events near me today	[IN:GET_EVENT, IN:GET_LOCATION]
event	What types of things can I do in Atlanta on the third weekend	[IN:GET_EVENT]
event	Events in Wadsworth	[IN:GET_EVENT]
event	what's happening for families this weekend	[IN:GET_EVENT]
event	Find me something to do in Boston this weekend	[IN:GET_EVENT]
event	Photography classes in Ukiah	[IN:GET_EVENT]
event	Are there any good bands coming through New York this week	[IN:GET_EVENT]
event	christmas parties this december	[IN:GET_EVENT]
event	Is there any holiday plays to see this weekend in San Jose	[IN:GET_EVENT]
event	Are there any Christmas Parades in NH in December	[IN:GET_EVENT]
event	Help me find an event in Birmingham this weekend	[IN:GET_EVENT]
event	Tell me about things to do in Atlanta on New year's Eve	[IN:GET_EVENT]
event	Are any Fourth of July festivals pet friendly	[IN:GET_EVENT]
event	Any events available in Madison Heights this morning	[IN:GET_EVENT]
event	What is going on for tomorrow	[IN:GET_EVENT]
event	What is going on today	[IN:GET_EVENT]
event	Is Jack going to the concert	[IN:GET_EVENT_ATTENDEE]
event	Wine tasting events near me	[IN:GET_EVENT, IN:GET_LOCATION]
event	Are there any sporting events in San Jose today	[IN:GET_EVENT]
event	Free Christmas lights to see near me	[IN:GET_EVENT, IN:GET_LOCATION]
event	I'm wanting to get into running, can you tell me if there's any events happening for runners nearby	[IN:GET_EVENT, IN:GET_LOCATION]
event	What kind of events are happening today	[IN:GET_EVENT]
event	what artsy event can i go to tomorrow night downtown	[IN:GET_EVENT]
event	any concert presales going on at the BJCC	[IN:GET_EVENT, IN:GET_LOCATION]
event	Are there sales events at the local mall	[IN:GET_EVENT, IN:GET_LOCATION]
event	Is Metro Community College having cooking classes	[IN:GET_EVENT, IN:GET_LOCATION]
event	Things to do in Montgomery Alabama	[IN:GET_EVENT]
event	Is there any concert that is playing tonight in San Jose	[IN:GET_EVENT]
event	Christmas events in New York	[IN:GET_EVENT]
event	Hotel events in Miami	[IN:GET_EVENT]
event	Concerts by ACDC	[IN:GET_EVENT]
event	concerts by p diddy	[IN:GET_EVENT]
event	When is the Pink concert coming near me	[IN:GET_EVENT, IN:GET_LOCATION]
event	brantley gilbert concerts	[IN:GET_EVENT]
event	Are there any music events this month	[IN:GET_EVENT]
event	Holiday festivals near me this weekend	[IN:GET_EVENT, IN:GET_LOCATION]
event	free concerts in Orlando next week	[IN:GET_EVENT]
event	Motorcycle rallies in 2018	[IN:GET_EVENT]
event	What's fun around here	[IN:GET_EVENT, IN:GET_LOCATION]
event	Festivals near me	[IN:GET_EVENT, IN:GET_LOCATION]
event	When is the next Miley Cyrus concert	[IN:GET_EVENT]
event	New years eve parties	[IN:GET_EVENT]
event	When will the next eclipse be?	[IN:GET_EVENT]
event	Museum shows in the city this weekend	[IN:GET_EVENT, IN:GET_LOCATION]
event	Music events in Charleston next month	[IN:GET_EVENT]
event	What family activities are happening in Placer County	[IN:GET_EVENT]
event	Free festivals in Charlotte next year	[IN:GET_EVENT]
event	concerts by janet jackson	[IN:GET_EVENT]
event	Christmas music events in Tampa this friday	[IN:GET_EVENT]
event	Movie in the park events nearby this week	[IN:GET_EVENT, IN:GET_LOCATION, IN:GET_LOCATION]
event	Escape the room tickets for this weekend in Philadelphia	[IN:UNSUPPORTED_EVENT]
event	events this weekend	[IN:GET_EVENT]
event	Where does the Nutcracker play the week of before Christmas	[IN:GET_EVENT]
event	The best place to go dancing on Friday night in Roseville	[IN:GET_EVENT]
event	where can I go cross country skiing	[IN:GET_EVENT]
event	Anything fun to do this weekend	[IN:GET_EVENT]
event	what is there to do in Portland tonight	[IN:GET_EVENT]
event	What Broadway shows are currently playing in New York	[IN:GET_EVENT]
event	Any good classical musicals going on in Portland next week	[IN:GET_EVENT]
event	What cruises are leaving out of Galveston in April	[IN:GET_EVENT]
event	I'm looking for any Broadway show happening tonight	[IN:GET_EVENT]
event	what are the dates for the Boat Parade of lights in Havasu this month	[IN:GET_EVENT]
event	Whats going on Saturday Night	[IN:GET_EVENT]
event	Country concerts in Portland in January	[IN:GET_EVENT]
event	Any live wrestling shows in town this weekend	[IN:GET_EVENT, IN:GET_LOCATION]
event	What shows are at the Stadium Theater in January	[IN:GET_EVENT, IN:GET_LOCATION]
event	Holland Center concerts next month	[IN:GET_EVENT, IN:GET_LOCATION]
event	What is happening near me	[IN:GET_EVENT, IN:GET_LOCATION]
event	Christmas events	[IN:GET_EVENT]
event	Any fun events this weekend	[IN:GET_EVENT]
event	Is there a horse show in Longmont soon	[IN:GET_EVENT]
event	any music events this weekend	[IN:GET_EVENT]
event	Events happening within a 30 mile radius of me, happening today	[IN:GET_EVENT, IN:GET_LOCATION]
event	ideas on what to do in San Francisco today	[IN:GET_EVENT]
event	Is there some sort of Christmas festival in Carmel this year	[IN:GET_EVENT]
event	Whats happening this weekend	[IN:GET_EVENT]
event	Things to do in SF tonight	[IN:GET_EVENT]
event	are there any rock concerts in december in my town	[IN:GET_EVENT, IN:GET_LOCATION_HOME]
event	Parties tomorrow in Los Angeles	[IN:GET_EVENT]
event	concerts in Vegas next year	[IN:GET_EVENT]
event	I want to see a concert tonight, is there anything going on near me	[IN:GET_EVENT, IN:GET_LOCATION]
event	what's going on in harrisburg, pa at the end of this month	[IN:GET_EVENT]
event	Things to do in Boston this weekend	[IN:GET_EVENT]
event	Crafts shows coming up	[IN:GET_EVENT]
event	Things to do in Austell, Georgia	[IN:GET_EVENT]
event	concerts by hall and oates this month	[IN:GET_EVENT]
event	coffee house and music	[IN:GET_EVENT, IN:GET_LOCATION]
event	Things to do in Cleveland next weekend	[IN:GET_EVENT]
event	Anything cool going on in hardy tonight	[IN:GET_EVENT]
event	concerts by Pentatonix	[IN:GET_EVENT]
event	What is there to do in Seattle this week	[IN:GET_EVENT]
event	beer tasting in Albuquerque for March	[IN:GET_EVENT]
event	Any good concerts tonight	[IN:GET_EVENT]
event	things to do in weekend mornings	[IN:GET_EVENT]
event	harry styles concert within the next month	[IN:GET_EVENT]
event	where are the fall festivals in orlando	[IN:GET_EVENT]
event	Is there a Hearthstone Fireside Gathering in Los Angeles next week	[IN:GET_EVENT]
event	things to do for kids 5 and under on Saturday night in Las Vegas	[IN:GET_EVENT]
event	Events for families tomorrow downtown	[IN:GET_EVENT]
event	Christmas parties in Portland please	[IN:GET_EVENT]
event	What is happening in Silver spring over the weekend	[IN:GET_EVENT]
event	Bruno Mars concerts in Cleveland this year	[IN:GET_EVENT]
event	Things to do In Miami	[IN:GET_EVENT]
event	Concerts by Justin Timberlake for this weekend	[IN:GET_EVENT]
event	Pennington Gap Virginia for fun	[IN:GET_EVENT]
event	COncerts by Billy Joel next week	[IN:GET_EVENT]
event	What's up in Las Vegas this weekend	[IN:GET_EVENT]
event	Christmas activities in katy this weekend	[IN:GET_EVENT]
event	any parties	[IN:GET_EVENT]
event	music events this weekend	[IN:GET_EVENT]
event	Funny acts in Dallas this weekend	[IN:GET_EVENT]
event	Gamestop Expo details please	[IN:GET_EVENT]
event	show me book readings in valencia this week	[IN:GET_EVENT]
event	Stand up Comedy in Chicago on December 23	[IN:GET_EVENT]
event	craft classes in Chicago Fridays afternoon	[IN:GET_EVENT]
event	food events in atlanta this weekend	[IN:GET_EVENT]
event	List all cool things to do in Iceland	[IN:GET_EVENT]
event	events in Vegas this weekend	[IN:GET_EVENT]
event	christmas events at the birmingham zoo	[IN:GET_EVENT, IN:GET_LOCATION]
event	any skating events in windham	[IN:GET_EVENT]
