domain	utterance	intents
weather	Whats the weather supposed to be today	[IN:GET_WEATHER]
weather	how cold is it?	[IN:GET_WEATHER]
weather	Can I get the 10 day forecast for Phoenix?	[IN:GET_WEATHER]
weather	What is the weather news for today?	[IN:GET_WEATHER]
weather	Tell me the weather conditions	[IN:GET_WEATHER]
weather	What's the weather like Saturday?	[IN:GET_WEATHER]
weather	where is it going to rain in the area today	[IN:GET_WEATHER]
weather	Check upcoming weather reports.	[IN:GET_WEATHER]
weather	How warm is it outside right now?	[IN:GET_WEATHER]
weather	Is it cold out?	[IN:GET_WEATHER]
weather	How is the weather in Jacksonville	[IN:GET_WEATHER]
weather	is it going to be hot today?	[IN:GET_WEATHER]
weather	temperature in New York	[IN:GET_WEATHER]
weather	This Sunday's weather in Los Angeles.	[IN:GET_WEATHER]
weather	Is it going to be sunny all day?	[IN:GET_WEATHER]
weather	How many days are going to rain this week?	[IN:GET_WEATHER]
weather	will it rain at my house today	[IN:GET_WEATHER]
weather	will I need a heavy coat today	[IN:GET_WEATHER]
weather	How cloudy is it?	[IN:GET_WEATHER]
weather	Is it going to rain today?	[IN:GET_WEATHER]
weather	What is the highest temperature going to be over the next 8 days	[IN:GET_WEATHER]
weather	What is the highs in Vegas this weekend?	[IN:GET_WEATHER]
weather	WHAT ARE THE CHANCES FOR RAIN	[IN:GET_WEATHER]
weather	should I wear pants or shorts today?	[IN:GET_WEATHER]
weather	is it going to snow friday	[IN:GET_WEATHER]
weather	When is it going to rain next in Phoenix?	[IN:GET_WEATHER]
weather	is it going to snow through the spring in upstate new york	[IN:GET_WEATHER]
weather	Will the weather be above 80 degrees tomorrow	[IN:GET_WEATHER]
weather	is there any thunderstorms in the forecast this week	[IN:GET_WEATHER]
weather	Is it supposed to rain today?	[IN:GET_WEATHER]
weather	Is there a thunderstorm watch?	[IN:GET_WEATHER]
weather	What is the weather like this weekend?	[IN:GET_WEATHER]
weather	Is there going to be rain in Green Bay, WI today?	[IN:GET_WEATHER]
weather	should i bring an umbrella	[IN:GET_WEATHER]
weather	do i need sunscreen today	[IN:GET_WEATHER]
weather	Is it cold in croatia right now?	[IN:GET_WEATHER]
weather	Will it be raining at lunch time today?	[IN:GET_WEATHER]
weather	How much snow are we projected to get today?	[IN:GET_WEATHER]
weather	what is the highest temp today	[IN:GET_WEATHER]
weather	What is the weather for South Beach tomorrow at 11am?	[IN:GET_WEATHER]
weather	what's the local forecast for savannah	[IN:GET_WEATHER]
weather	Will it be sunny next Thursday?	[IN:GET_WEATHER]
weather	Is there sleet predicted for Pennsylvania tomorrow?	[IN:GET_WEATHER]
weather	Show me the weather?	[IN:GET_WEATHER]
weather	What the temperature today?	[IN:GET_WEATHER]
weather	What is the low temperature today	[IN:GET_WEATHER]
weather	How long is it supposed to rain?	[IN:GET_WEATHER]
weather	when is it going to be sunny out	[IN:GET_WEATHER]
weather	is snow in the forecast	[IN:GET_WEATHER]
weather	Can I wear shorts today?	[IN:GET_WEATHER]
weather	will the beach be sunny tomorrow	[IN:GET_WEATHER]
