domain	utterance	intents
alarm	Set the alarm for tonight.	[IN:CREATE_ALARM]
alarm	how much time is left before my alarm goes off	[IN:GET_ALARM]
alarm	set the alarm to ring at 4.30am on Monday	[IN:CREATE_ALARM]
alarm	Set alarm for noon tomorrow.	[IN:CREATE_ALARM]
alarm	set alarm for 8:30am	[IN:CREATE_ALARM]
alarm	Set an alarm for 9:30 am, please.	[IN:CREATE_ALARM]
alarm	remove tomorrows alarms	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set an alarm for tomorrow	[IN:CREATE_ALARM]
alarm	Set alarm to ring loud.	[IN:UNSUPPORTED_ALARM]
alarm	show me my alarms	[IN:GET_ALARM]
alarm	set an alarm for the next hour	[IN:CREATE_ALARM]
alarm	Set an alarm for 1 pm	[IN:CREATE_ALARM]
alarm	Please cancel the alarm for 4 PM	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	Set alarm for 4pm today.	[IN:CREATE_ALARM]
alarm	wake me up in an hour	[IN:CREATE_ALARM]
alarm	cancel my alarm	[IN:DELETE_ALARM]
alarm	Delete the alarm I have set for 4:30a tomorrow.	[IN:DELETE_ALARM, IN:GET_TIME]
alarm	set alarm at 10am every odd date	[IN:CREATE_ALARM]
alarm	delete all of my alarms	[IN:DELETE_ALARM]
alarm	show all alarms	[IN:GET_ALARM]
alarm	Set an alarm every two minutes over the next half hour	[IN:CREATE_ALARM]
alarm	add basketball game alarm tuesday at 3:00 pm	[IN:CREATE_ALARM]
alarm	set alarm for 8 pm every day for 10 days	[IN:CREATE_ALARM]
alarm	Set an alarm for 6 PM tonight	[IN:CREATE_ALARM]
alarm	Delete alarms	[IN:DELETE_ALARM]
alarm	set alarm for friday at 5am	[IN:CREATE_ALARM]
alarm	Set evening alarms for the next three days	[IN:CREATE_ALARM]
alarm	set my alarm to 8pm to go home	[IN:CREATE_ALARM]
alarm	Set an alarm for 8am.	[IN:CREATE_ALARM]
alarm	set alarm for 7 pm please	[IN:CREATE_ALARM]
alarm	Set alarm for 1 o clock later	[IN:CREATE_ALARM]
